Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Pz (uV),P4 (uV),O1 (uV),O2 (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,-1003,1,1,-8,-2,-2,11,8,-2,13,2,13,-2,9,-2,8,1,-1,,,,,
,91,-10,6,16,-7,3,-2,2,11,-7,-9,-9,-5,-9,-3,-10,,4,,,,,
,3840,9,4,-7,10,5,-6,10,-1,-3,-10,-3,-5,2,3,7,4,-17,,,,,
,-3505,-9,4,-17,-1,-2,-3,,-9,2,,9,11,3,3,5,7,14,,,,,
,-238,-1,-9,10,,-3,-2,-15,-17,-1,9,2,-3,,1,-7,2,,,,,,
,84,-20,7,7,2,2,-5,11,20,9,7,-12,-4,-11,-9,-18,-5,-12,,,,,
,-428,,8,-14,4,3,3,-3,,-5,2,7,7,6,7,7,6,4,,,,,
,587,,-9,-5,-10,-10,-1,8,-8,-4,-8,4,3,,-9,10,-3,8,,,,,
,365,19,-4,17,-5,-17,6,-3,-8,5,5,-1,2,4,11,-2,-3,-9,,,,,
,343,-20,-1,-3,5,8,5,8,6,-1,-9,-2,-16,-1,-8,10,-2,-1,,,,,
,-938,2,,-5,10,22,-5,-8,9,-4,-1,-7,9,-7,-3,-8,,15,,,,,
,-181,-10,55415,55428,55483,55517,55408,55454,55480,55523,55495,55541,55574,55564,55487,55510,55571,55533,,,,,
,196,-1,222799,222909,223135,223258,222826,223016,223164,223177,223168,223327,223421,223398,223026,223210,223457,223319,,,,,
,66,-7,55973,56031,56093,56124,56005,56054,56114,56087,56082,56144,56162,56132,56040,56097,56156,56137,,,,,
,399,18,1,-3,-1,3,,10,-4,-6,-7,,1,,-4,4,3,-6,,,,,
,-29,-13,1,-10,-11,-6,-7,-4,-7,8,15,4,12,-7,-8,4,,-7,,,,,
,446,-20,5,8,-7,7,-10,-13,-2,8,2,-1,12,5,-1,-9,-4,-7,,,,,
,-779,2,-1,-5,7,7,1,10,4,-8,5,-2,-3,6,10,19,2,3,,,,,
,146,21,-4,1,2,-2,11,5,2,-4,5,-14,-18,-7,-4,-8,5,6,,,,,
,350,,3,-3,-4,-13,-7,-8,-3,1,-6,2,1,2,,-2,-3,12,,,,,
,170,-32,-12,9,5,2,7,1,8,-9,-11,,7,,-1,-10,-5,,,,,,
,-673,-1,21,1,13,9,-1,7,10,2,-4,,-2,1,-6,-7,-2,-9,,,,,
,-12,1,-2,-8,-8,-8,-6,-12,-9,11,-8,1,4,-2,3,18,17,7,,,,,
,706,11,-14,8,,-3,4,7,-6,2,-1,8,-9,5,5,-8,-9,-15,,,,,
,-62,-12,-3,,4,-6,-6,-2,-4,7,8,-8,-3,3,5,-9,-7,7,,,,,
,-33,13,13,-6,2,8,12,-5,11,-12,-6,3,3,2,3,6,-3,-14,,,,,
,-864,-11,-11,-3,-4,,-6,-2,-9,2,7,-2,8,-8,5,10,4,3,,,,,
,419,-1,16,4,-3,9,,16,2,,4,7,-10,-3,-5,-5,8,3,,,,,
,-479,-21,-15,5,-1,1,10,-8,12,-14,14,-9,13,7,-8,-1,-2,13,,,,,
,964,22,4,11,7,-5,1,-2,-3,3,-12,3,-6,-4,1,1,-10,-2,,,,,
,-118,,7,-16,-3,-2,-4,7,-10,2,-2,9,3,1,-6,-3,13,7,,,,,
,-467,-2,-6,6,-12,7,-6,-2,-1,4,-1,8,9,-2,2,4,4,-4,,,,,
,386,-30,-6,2,3,-10,-1,-2,12,3,9,-7,-4,-5,3,,-4,-10,,,,,
,-681,-2,-6,-8,9,-2,-15,2,-8,-16,2,-12,-20,-7,-13,8,-2,14,,,,,
,1325,3,11,-5,-3,2,15,-9,-4,8,-5,4,,-9,,-9,9,-24,,,,,
,-339,,6,14,1,10,7,-1,5,21,-4,7,12,2,6,-3,-1,6,,,,,
,-714,10,-3,-5,,-7,1,6,1,-5,-6,-1,-2,4,9,6,-6,14,,,,,
,1690,-10,5,6,5,-10,-5,-3,-11,-13,16,-8,-11,13,-11,7,2,-1,,,,,
,-1836,-1,-11,-1,-14,17,-5,5,7,-20,1,5,16,12,14,1,,6,,,,,
,767,1,1,-6,3,4,6,-1,-8,12,-6,,-2,-15,-7,-15,-5,-11,,,,,
,62,-21,3,5,,-26,-7,-8,5,8,-15,,4,-10,,-1,,5,,,,,
,2049,20,-8,-4,3,5,3,-10,-3,4,8,-7,1,-2,8,6,2,-2,,,,,
,-2695,-17,1,-5,-8,-1,-5,8,4,8,,4,3,14,,2,-9,-8,,,,,
