Packet No,App TimeStamp,Sensor TimeStamp,Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Pz (uV),P4 (uV),O1 (uV),O2 (uV),ref (uV),AccX(mg),AccY(mg),AccZ(mg),Event A,Event B
,52,7,424,1127,2661,-5590,,,,,,,,,,,,-7,,,,,
,53,-3,1751,5229,8510,22993,,,,,,,,,,,,11,,,,,
,-15,-1,447,1409,1752,15836,,,,,,,,,,,,1,,,,,
,-79,1,51,93,-323,3373,,,,,,,,,,,,-9,,,,,
,3139,-30,-434,-1235,-1919,-7900,,,,,,,,,,,,10,,,,,
,-3109,-5,-1841,-5321,-7851,-30853,,,,,,,,,,,,-5,,,,,
,529,5,-460,-1388,-2192,-6367,,,,,,,,,,,,-6,,,,,
,-310,17,3,-4,-450,8209,,,,,,,,,,,,10,,,,,
,468,-4,480,1309,1773,8385,,,,,,,,,,,,5,,,,,
,-911,-14,1825,5239,8530,18531,,,,,,,,,,,,-5,,,,,
,-132,1,427,1341,2804,-2823,,,,,,,,,,,,-5,,,,,
,14,,-48,-25,98,-160,,,,,,,,,,,,-1,,,,,
,295,-2,-469,-1249,-2498,3902,,,,,,,,,,,,-8,,,,,
,96,-33,-1744,-5365,-9167,-17447,,,,,,,,,,,,9,,,,,
,61,4,-421,-721,-953,-5052,,,,,,,,,,,,5,,,,,
,-352,18,-30,-717,-603,-14992,,,,,,,,,,,,-5,,,,,
,-11,-22,433,1391,2555,4849,,,,,,,,,,,,-4,,,,,
,-248,4,1803,5247,8023,30684,,,,,,,,,,,,6,,,,,
,89,-4,476,1476,1836,10966,,,,,,,,,,,,5,,,,,
,722,-9,14,34,83,-2114,,,,,,,,,,,,-5,,,,,
,1336,13,-473,-1329,-1463,-14483,,,,,,,,,,,,-4,,,,,
,-2063,-14,-1833,-5240,-8243,-23045,,,,,,,,,,,,-2,,,,,
,-82,1,-444,-1384,-2719,1833,,,,,,,,,,,,-5,,,,,
,-340,-22,29,48,-391,4347,,,,,,,,,,,,6,,,,,
,27,22,491,1269,2165,2734,,,,,,,,,,,,18,,,,,
,507,-22,1761,5131,9023,12147,,,,,,,,,,,,-6,,,,,
,127,-8,397,1380,2332,5196,,,,,,,,,,,,2,,,,,
,51,11,13,38,-368,8970,,,,,,,,,,,,-8,,,,,
,-167,2,-413,-1196,-2427,-77,,,,,,,,,,,,-9,,,,,
,30,,-1780,-5201,-8428,-23743,,,,,,,,,,,,8,,,,,
,8,-29,-456,-1467,-1677,-16858,,,,,,,,,,,,1,,,,,
,-114,-28,-36,-42,218,-2069,,,,,,,,,,,,3,,,,,
,632,44,453,1228,1639,13302,,,,,,,,,,,,4,,,,,
,-52,-6,1845,5310,8078,27163,,,,,,,,,,,,-4,,,,,
,50,5,452,1472,2218,5535,,,,,,,,,,,,-5,,,,,
,393,-54,-33,-102,560,-10030,,,,,,,,,,,,-7,,,,,
,-392,,-488,-1260,-1790,-7115,,,,,,,,,,,,6,,,,,
,353,1,-1789,-5218,-8826,-13333,,,,,,,,,,,,1,,,,,
,44,10,-417,-1377,-2730,-2110,,,,,,,,,,,,-14,,,,,
,-434,-11,34,-53,-227,334,,,,,,,,,,,,4,,,,,
,42,10,418,1640,3600,-2326,,,,,,,,,,,,10,,,,,
,-196,-10,1775,4670,7646,13804,,,,,,,,,,,,-10,,,,,
,228,-14,439,1580,2139,17800,,,,,,,,,,,,4,,,,,
,-591,14,38,53,-370,5704,,,,,,,,,,,,9,,,,,
,-84,-17,-439,-1199,-2045,-5517,,,,,,,,,,,,-9,,,,,
,-22,-1,-1813,-5313,-7856,-34618,,,,,,,,,,,,3,,,,,
,115,-12,-474,-1411,-2028,-12133,,,,,,,,,,,,-3,,,,,
,-263,10,-6,25,-402,9392,,,,,,,,,,,,-9,,,,,
,-88,2,477,1246,1680,11357,,,,,,,,,,,,5,,,,,
,607,-3,1825,5294,8449,23525,,,,,,,,,,,,-7,,,,,
,-482,-10,448,1349,2747,-2591,,,,,,,,,,,,5,,,,,
,161,-18,-40,-37,249,-3575,,,,,,,,,,,,11,,,,,
,178,18,-470,-1240,-2388,5972,,,,,,,,,,,,,,,,,
,31,-30,-1766,-5203,-8851,-19846,,,,,,,,,,,,-1,,,,,
,325,13,-414,-1308,-2281,-7365,,,,,,,,,,,,5,,,,,
,-311,-13,-13,-79,518,-6561,,,,,,,,,,,,1,,,,,
,351,,430,1171,2350,3074,,,,,,,,,,,,-3,,,,,
,196,13,1771,5257,8070,23384,,,,,,,,,,,,-2,,,,,
,-238,-9,487,1452,1815,9952,,,,,,,,,,,,1,,,,,
,634,-24,20,80,-50,-1891,,,,,,,,,,,,-5,,,,,
,-154,19,-465,-1325,-1494,-10709,,,,,,,,,,,,8,,,,,
,-782,-18,-1830,-5299,-8157,-18926,,,,,,,,,,,,-14,,,,,
,2126,-1,-463,-1380,-2630,553,,,,,,,,,,,,16,,,,,
,-2311,-2,22,30,-396,3620,,,,,,,,,,,,9,,,,,
,64,5,499,1078,1632,2422,,,,,,,,,,,,-7,,,,,
,-271,-2,1785,5768,10099,11818,,,,,,,,,,,,-5,,,,,
,1104,,400,844,1501,400,,,,,,,,,,,,-12,,,,,
,-1040,-12,-13,129,-139,5563,,,,,,,,,,,,4,,,,,
,-3,2,-432,-1181,-2387,208,,,,,,,,,,,,3,,,,,
,220,-3,-1758,-5154,-8516,-15663,,,,,,,,,,,,5,,,,,
,-141,1,-454,-1470,-1748,-10294,,,,,,,,,,,,5,,,,,
,-117,-18,-30,-76,313,-3212,,,,,,,,,,,,-2,,,,,
,18,,439,1279,1761,8696,,,,,,,,,,,,-5,,,,,
,231,-12,1823,5235,8012,19153,,,,,,,,,,,,4,,,,,
,575,11,475,1505,2143,4662,,,,,,,,,,,,3,,,,,
,-185,-11,-11,-88,463,-5379,,,,,,,,,,,,-5,,,,,
,70,1,-479,-1287,-1644,-6799,,,,,,,,,,,,-1,,,,,
,-499,-21,-1822,-5202,-8770,-10711,,,,,,,,,,,,4,,,,,
,187,19,-424,-1368,-2687,-826,,,,,,,,,,,,-6,,,,,
,211,3,31,54,-144,199,,,,,,,,,,,,-7,,,,,
,-117,-33,436,1176,2584,-1659,,,,,,,,,,,,-1,,,,,
,-938,10,1759,5172,8801,11894,,,,,,,,,,,,8,,,,,
,386,,437,1448,1909,9185,,,,,,,,,,,,-3,,,,,
,204,20,20,24,-400,3899,,,,,,,,,,,,-1,,,,,
,-810,-19,-410,-1179,-2169,-3135,,,,,,,,,,,,-1,,,,,
,-76,-10,-1781,-5296,-7952,-20594,,,,,,,,,,,,5,,,,,
,857,9,-494,-1457,-1889,-8418,,,,,,,,,,,,6,,,,,
,-298,-9,-37,24,-299,4559,,,,,,,,,,,,6,,,,,
,338,1,470,1243,1647,7406,,,,,,,,,,,,-16,,,,,
,-52,-21,1845,5302,8276,16008,,,,,,,,,,,,-3,,,,,
,-17,,455,1174,2295,-1185,,,,,,,,,,,,12,,,,,
,-97,,-48,564,1625,-1609,,,,,,,,,,,,10,,,,,
,-170,1,-472,-1842,-3485,-1460,,,,,,,,,,,,1,,,,,
,328,-1,-1765,-5046,-8545,-10779,,,,,,,,,,,,-17,,,,,
,6,1,-405,-1300,-2371,-3859,,,,,,,,,,,,-4,,,,,
,252,-12,-5,-26,450,-4800,,,,,,,,,,,,6,,,,,
,1367,1,420,1135,2470,-847,,,,,,,,,,,,-3,,,,,
,-1404,1,1777,5253,8180,19767,,,,,,,,,,,,3,,,,,
,334,-1,469,1435,1812,8678,,,,,,,,,,,,-2,,,,,
,-221,-34,18,94,-191,898,,,,,,,,,,,,-4,,,,,
,238,-1,-452,-1328,-1627,-8286,,,,,,,,,,,,,,,,,
,-93,15,-1825,-5304,-7967,-19983,,,,,,,,,,,,-5,,,,,
,-32,-11,-455,-1353,-2505,-440,,,,,,,,,,,,,,,,,
,2675,9,20,-11,-470,4201,,,,,,,,,,,,6,,,,,
,-3066,-9,486,1341,1930,4406,,,,,,,,,,,,9,,,,,
,-344,,1791,5171,8848,10931,,,,,,,,,,,,,,,,,
,-8,,416,1362,2676,-53,,,,,,,,,,,,8,,,,,
,-177,-20,-35,17,-255,3848,,,,,,,,,,,,-8,,,,,
,232,-1,-435,-1245,-2495,887,,,,,,,,,,,,-10,,,,,
,-196,-1,-1757,-5138,-8597,-14499,,,,,,,,,,,,8,,,,,
,31,-9,-435,-1452,-1876,-9006,,,,,,,,,,,,-14,,,,,
,22,11,-39,-86,469,-4792,,,,,,,,,,,,9,,,,,
,380,-3,424,1263,1848,7256,,,,,,,,,,,,-4,,,,,
,-349,-8,1816,5254,8011,19931,,,,,,,,,,,,6,,,,,
,740,,490,1490,2005,5521,,,,,,,,,,,,,,,,,
,2214,-23,10,-66,298,-4318,,,,,,,,,,,,2,,,,,
,-3106,3,-490,-1403,-1699,-8818,,,,,,,,,,,,-1,,,,,
,2507,,-1840,-4752,-7710,-10048,,,,,,,,,,,,-3,,,,,
,-2031,-13,-425,-1918,-3741,-2078,,,,,,,,,,,,4,,,,,
,598,2,41,241,90,1804,,,,,,,,,,,,-3,,,,,
,-657,1,468,1217,2487,-533,,,,,,,,,,,,5,,,,,
,433,8,1773,5166,8936,10371,,,,,,,,,,,,-4,,,,,
,428,2,410,1417,1983,7735,,,,,,,,,,,,1,,,,,
,-167,-10,5,-14,-431,4635,,,,,,,,,,,,4,,,,,
,1238,,-412,-1144,-2265,-2104,,,,,,,,,,,,-1,,,,,
,-1984,-21,-1792,-5241,-8078,-19381,,,,,,,,,,,,,,,,,
,50,20,-465,-1488,-1747,-9881,,,,,,,,,,,,-8,,,,,
,-323,-31,-17,7,-172,3141,,,,,,,,,,,,2,,,,,
,438,11,457,1233,1644,8252,,,,,,,,,,,,-5,,,,,
,-172,,1825,5337,8194,16827,,,,,,,,,,,,13,,,,,
,-138,-10,448,1402,2539,742,,,,,,,,,,,,-5,,,,,
,-36,-2,-23,-90,524,-5383,,,,,,,,,,,,7,,,,,
,78,2,-492,-1248,-2195,-610,,,,,,,,,,,,4,,,,,
,-46,-10,-1784,-5251,-8891,-10699,,,,,,,,,,,,-9,,,,,
,563,-12,-401,-1291,-2501,-2982,,,,,,,,,,,,1,,,,,
,-129,22,7,6,336,-3557,,,,,,,,,,,,-2,,,,,
,1636,-20,421,1129,2601,-2169,,,,,,,,,,,,-7,,,,,
,-1738,-6,1764,5230,8288,18163,,,,,,,,,,,,-2,,,,,
,118,5,448,1431,1790,9524,,,,,,,,,,,,2,,,,,
,30,1,54,96,-285,1635,,,,,,,,,,,,3,,,,,
,287,-19,-436,-1282,-1744,-6932,,,,,,,,,,,,-5,,,,,
,1883,18,-1837,-5542,-8301,-22081,,,,,,,,,,,,15,,,,,
,-2929,-10,-469,-741,-1173,222,,,,,,,,,,,,-1,,,,,
,-105,5,11,-539,-1472,2978,,,,,,,,,,,,,,,,,
,380,-17,491,1430,2006,5614,,,,,,,,,,,,-11,,,,,
,157,2,1805,5235,8730,12357,,,,,,,,,,,,-10,,,,,
,-4,,418,1325,2777,-1276,,,,,,,,,,,,8,,,,,
,-1,-14,-38,17,-57,2229,,,,,,,,,,,,7,,,,,
,-232,23,-446,-1270,-2528,1508,,,,,,,,,,,,3,,,,,
,182,-11,-1757,-5132,-8718,-13640,,,,,,,,,,,,5,,,,,
,-157,,-412,-1374,-1991,-7585,,,,,,,,,,,,-11,,,,,
,362,1,-29,-97,572,-6054,,,,,,,,,,,,5,,,,,
,58,-19,414,1220,2005,5460,,,,,,,,,,,,,,,,,
,102,-26,1806,5234,7979,20742,,,,,,,,,,,,-9,,,,,
,88,-3,482,1503,1930,6437,,,,,,,,,,,,5,,,,,
,-45,30,9,-8,220,-2868,,,,,,,,,,,,3,,,,,
,-48,-1,-482,-1337,-1452,-9487,,,,,,,,,,,,1,,,,,
,-183,1,-1829,-5238,-8509,-14018,,,,,,,,,,,,-3,,,,,
,347,-46,-452,-1385,-2689,754,,,,,,,,,,,,,,,,,
,-289,-1,56,110,-292,2075,,,,,,,,,,,,3,,,,,
,73,,463,1214,2297,776,,,,,,,,,,,,10,,,,,
,2149,21,1775,5150,9016,9443,,,,,,,,,,,,,,,,,
,-2967,-15,403,1404,2163,5925,,,,,,,,,,,,-16,,,,,
,263,-6,9,-17,-459,5213,,,,,,,,,,,,-4,,,,,
,-33,4,-429,-1137,-2314,-1255,,,,,,,,,,,,7,,,,,
,115,-15,-1776,-5233,-8262,-18108,,,,,,,,,,,,10,,,,,
,420,-15,-462,-1518,-1711,-10846,,,,,,,,,,,,-6,,,,,
,-477,-4,-32,-96,-213,624,,,,,,,,,,,,2,,,,,
,304,7,462,1710,2518,10452,,,,,,,,,,,,,,,,,
,92,14,1834,4763,7128,24167,,,,,,,,,,,,-10,,,,,
,1019,-21,459,1605,2733,9651,,,,,,,,,,,,-4,,,,,
,-1442,-4,-33,-80,577,-12027,,,,,,,,,,,,1,,,,,
,278,3,-490,-1241,-2012,-6453,,,,,,,,,,,,4,,,,,
,1705,,-1795,-5235,-8828,-19954,,,,,,,,,,,,6,,,,,
,-1444,1,-402,-1338,-2627,-6172,,,,,,,,,,,,-3,,,,,
,-16,-10,22,24,157,-5579,,,,,,,,,,,,3,,,,,
,-15,-20,424,1137,2678,-10613,,,,,,,,,,,,-5,,,,,
,2238,-1,1755,5222,8467,34727,,,,,,,,,,,,2,,,,,
,-2315,4,457,1427,1763,24944,,,,,,,,,,,,-5,,,,,
,807,1,39,86,-326,6958,,,,,,,,,,,,9,,,,,
,-673,-6,-435,-1238,-1917,-10245,,,,,,,,,,,,1,,,,,
,18,-13,-1818,-5309,-7838,-49600,,,,,,,,,,,,-9,,,,,
,710,5,-479,-1411,-2184,-13056,,,,,,,,,,,,-2,,,,,
,-1298,5,9,3,-416,15510,,,,,,,,,,,,16,,,,,
,-272,7,492,1278,1683,13665,,,,,,,,,,,,1,,,,,
,1243,-13,1810,5272,8562,31599,,,,,,,,,,,,-13,,,,,
,-935,-20,416,1345,2822,-4977,,,,,,,,,,,,5,,,,,
,235,21,-31,-36,59,-1735,,,,,,,,,,,,7,,,,,
,-223,-2,-446,-1237,-2471,10373,,,,,,,,,,,,-3,,,,,
,701,-20,-1755,-5147,-8768,-28462,,,,,,,,,,,,-5,,,,,
,-705,-2,-430,-1345,-2138,-18129,,,,,,,,,,,,-3,,,,,
,2694,8,-18,-118,549,-17709,,,,,,,,,,,,-1,,,,,
,-2450,4,415,1014,1828,2926,,,,,,,,,,,,-10,,,,,
,412,-10,1782,5634,8746,57073,,,,,,,,,,,,6,,,,,
,-221,2,480,1417,1761,24758,,,,,,,,,,,,5,,,,,
,-40,-20,38,-247,-481,-10108,,,,,,,,,,,,6,,,,,
,80,18,-480,-1200,-1189,-24489,,,,,,,,,,,,,,,,,
,77,-18,-1827,-5258,-8273,-41405,,,,,,,,,,,,-12,,,,,
,-88,,-436,-1374,-2685,2392,,,,,,,,,,,,10,,,,,
,1701,,36,71,-388,9282,,,,,,,,,,,,-2,,,,,
,-1767,-8,470,1273,2176,4369,,,,,,,,,,,,-2,,,,,
,83,8,1777,5126,9003,18996,,,,,,,,,,,,3,,,,,
,3219,-8,400,1389,2327,10062,,,,,,,,,,,,3,,,,,
,-2442,8,-2,11,-405,17898,,,,,,,,,,,,-7,,,,,
,-1499,-7,-433,-1173,-2382,2821,,,,,,,,,,,,1,,,,,
,193,-33,-1774,-5199,-8377,-42209,,,,,,,,,,,,4,,,,,
,-99,2,-446,-1478,-1669,-35374,,,,,,,,,,,,-1,,,,,
,132,-18,-48,-44,158,-5597,,,,,,,,,,,,3,,,,,
,-55,14,443,1227,1655,25184,,,,,,,,,,,,-2,,,,,
,83,7,1831,5284,8047,52590,,,,,,,,,,,,-8,,,,,
,-60,-7,481,1475,2220,13408,,,,,,,,,,,,,,,,,
,-138,-2,,-64,633,-20688,,,,,,,,,,,,1,,,,,
,1154,-13,-509,-1286,-1875,-14887,,,,,,,,,,,,-5,,,,,
,-451,4,-1814,-5227,-8858,-23189,,,,,,,,,,,,12,,,,,
,-75,-23,-396,-1351,-2642,-5080,,,,,,,,,,,,-6,,,,,
,94,24,29,67,30,-1802,,,,,,,,,,,,15,,,,,
,1564,-2,429,1154,2677,-12417,,,,,,,,,,,,-2,,,,,
,-2196,-20,1764,5180,8645,32635,,,,,,,,,,,,-5,,,,,
,3208,2,442,1197,1347,32935,,,,,,,,,,,,8,,,,,
,-3840,-11,24,710,827,21381,,,,,,,,,,,,-13,,,,,
,1130,9,-425,-1773,-3116,-17442,,,,,,,,,,,,,,,,,
,152,1,-1803,-5167,-7594,-60505,,,,,,,,,,,,10,,,,,
,1291,-33,-482,-1419,-1993,-24106,,,,,,,,,,,,1,,,,,
,527,-2,-11,14,-382,19217,,,,,,,,,,,,-11,,,,,
,-2423,25,477,1277,1703,19000,,,,,,,,,,,,-2,,,,,
,-266,-1,1830,5296,8413,37738,,,,,,,,,,,,-7,,,,,
,-170,-34,428,1335,2751,-4062,,,,,,,,,,,,5,,,,,
,-59,16,-33,-45,265,-8830,,,,,,,,,,,,-3,,,,,
,-122,-5,-456,-1218,-2413,9244,,,,,,,,,,,,9,,,,,
,304,2,-1756,-5192,-8853,-27543,,,,,,,,,,,,-7,,,,,
,-237,-6,-425,-1323,-2285,-15995,,,,,,,,,,,,2,,,,,
,66,-12,-20,-90,540,-20474,,,,,,,,,,,,6,,,,,
,318,13,418,1184,2354,-4136,,,,,,,,,,,,-15,,,,,
,578,-1,1800,5242,8066,60491,,,,,,,,,,,,-2,,,,,
,-24,7,481,1456,1820,31379,,,,,,,,,,,,,,,,,
,202,-6,28,85,-62,713,,,,,,,,,,,,6,,,,,
,-453,3,-484,-1345,-1540,-28017,,,,,,,,,,,,11,,,,,
,434,-9,-1830,-5265,-8091,-56562,,,,,,,,,,,,-5,,,,,
,-401,-1,-462,-1394,-2627,-474,,,,,,,,,,,,-7,,,,,
,4964,-18,36,26,-450,13880,,,,,,,,,,,,-1,,,,,
,-3868,18,491,1307,2054,9204,,,,,,,,,,,,4,,,,,
,7826,-17,1775,5162,8949,25527,,,,,,,,,,,,,,,,,
,-3882,-3,399,1367,2557,4203,,,,,,,,,,,,7,,,,,
,-3935,1,-12,-34,-460,17943,,,,,,,,,,,,6,,,,,
,-1703,2,-426,-1248,-2527,8740,,,,,,,,,,,,-1,,,,,
,81,-2,-1757,-4776,-7772,-37868,,,,,,,,,,,,-8,,,,,
,603,3,-449,-1919,-2630,-47599,,,,,,,,,,,,-6,,,,,
,-599,,-38,69,612,-13876,,,,,,,,,,,,15,,,,,
,43,-29,436,1276,1786,25419,,,,,,,,,,,,-2,,,,,
,-90,26,1827,5245,8009,63028,,,,,,,,,,,,-14,,,,,
,116,-1,480,1528,2107,21876,,,,,,,,,,,,9,,,,,
,2873,1,-2,-61,534,-19658,,,,,,,,,,,,8,,,,,
,-3235,-26,-498,-1348,-1725,-25839,,,,,,,,,,,,2,,,,,
,655,-16,-1816,-5215,-8731,-29317,,,,,,,,,,,,-9,,,,,
,86,13,-416,-1370,-2683,-2387,,,,,,,,,,,,4,,,,,
,-236,-4,52,90,-145,2977,,,,,,,,,,,,1,,,,,
,-65,7,429,1176,2574,-10444,,,,,,,,,,,,5,,,,,
,73,-35,1750,5157,8838,28157,,,,,,,,,,,,-6,,,,,
,-19,-3,427,1438,1890,35880,,,,,,,,,,,,-12,,,,,
,124,9,15,5,-447,17305,,,,,,,,,,,,10,,,,,
,492,8,-421,-1142,-2168,-6421,,,,,,,,,,,,8,,,,,
,47,-30,-1789,-5285,-7942,-62832,,,,,,,,,,,,-5,,,,,
,-743,2,-473,-1476,-1855,-36369,,,,,,,,,,,,-2,,,,,
,272,15,-16,26,-310,15156,,,,,,,,,,,,6,,,,,
,201,-4,477,1257,1672,25383,,,,,,,,,,,,-8,,,,,
,-385,-10,1823,5309,8256,47613,,,,,,,,,,,,5,,,,,
,-83,1,449,1366,2682,-107,,,,,,,,,,,,,,,,,
,-112,,-36,-70,425,-17895,,,,,,,,,,,,-3,,,,,
,300,20,-478,-1224,-2295,6069,,,,,,,,,,,,1,,,,,
,-233,-38,-1786,-5447,-9303,-27398,,,,,,,,,,,,-9,,,,,
,-82,-4,-404,-657,-1238,-3994,,,,,,,,,,,,2,,,,,
,-202,-10,9,-650,-682,-26214,,,,,,,,,,,,4,,,,,
,210,2,418,1312,2831,-9491,,,,,,,,,,,,1,,,,,
,-128,,1785,5252,8199,56688,,,,,,,,,,,,4,,,,,
,114,13,467,1438,1778,33434,,,,,,,,,,,,-7,,,,,
,56,-5,18,90,-170,3885,,,,,,,,,,,,-6,,,,,
,-203,-30,-459,-1290,-1600,-23299,,,,,,,,,,,,-8,,,,,
,946,22,-1828,-5302,-7988,-59058,,,,,,,,,,,,15,,,,,
,43,-1,-460,-1393,-2522,-2910,,,,,,,,,,,,4,,,,,
,-742,-29,28,18,-458,16302,,,,,,,,,,,,-9,,,,,
,689,11,486,1343,1903,11551,,,,,,,,,,,,,,,,,
,1924,,1794,5188,8853,24911,,,,,,,,,,,,-12,,,,,
,-2809,1,424,1344,2701,-1729,,,,,,,,,,,,11,,,,,
,94,,-32,-9,-294,10762,,,,,,,,,,,,2,,,,,
,-57,-8,-435,-1236,-2477,8349,,,,,,,,,,,,-1,,,,,
,121,-5,-1757,-5133,-8571,-34270,,,,,,,,,,,,2,,,,,
,-196,-18,-449,-1442,-1891,-28914,,,,,,,,,,,,-4,,,,,
,-98,-9,-50,-82,470,-18767,,,,,,,,,,,,1,,,,,
,192,-3,440,1244,1852,17837,,,,,,,,,,,,-1,,,,,
,-132,-2,1819,5264,8014,56813,,,,,,,,,,,,12,,,,,
,445,12,479,1493,1993,19725,,,,,,,,,,,,-4,,,,,
,-43,-10,3,-36,387,-12582,,,,,,,,,,,,-4,,,,,
,68,,-483,-1324,-1563,-25090,,,,,,,,,,,,-2,,,,,
,443,2,-1834,-5221,-8604,-30315,,,,,,,,,,,,-3,,,,,
,385,-25,-412,-1420,-2771,803,,,,,,,,,,,,12,,,,,
,804,3,55,-64,-552,5717,,,,,,,,,,,,-5,,,,,
,-856,-3,441,1801,3586,4107,,,,,,,,,,,,1,,,,,
,-1315,-9,1767,4538,7801,9916,,,,,,,,,,,,5,,,,,
,654,13,406,1604,2379,25687,,,,,,,,,,,,-10,,,,,
,20,-13,21,28,-431,17112,,,,,,,,,,,,-3,,,,,
,359,12,-414,-1148,-2269,-1787,,,,,,,,,,,,3,,,,,
,2783,-12,-1794,-5254,-8066,-51705,,,,,,,,,,,,-2,,,,,
,-3899,,-470,-1514,-1779,-35137,,,,,,,,,,,,9,,,,,
,124,-22,-23,16,-161,8309,,,,,,,,,,,,8,,,,,
,255,5,461,1269,1685,24803,,,,,,,,,,,,-11,,,,,
,-226,,1829,5309,8146,45224,,,,,,,,,,,,-7,,,,,
,-14,-2,445,1390,2524,3466,,,,,,,,,,,,-2,,,,,
,-68,5,-6,-85,530,-18851,,,,,,,,,,,,4,,,,,
,299,-3,-489,-1238,-2177,540,,,,,,,,,,,,-2,,,,,
,303,-9,-1802,-5230,-8848,-22642,,,,,,,,,,,,2,,,,,
,-392,9,-394,-1303,-2547,-9406,,,,,,,,,,,,1,,,,,
,224,-31,11,,329,-11351,,,,,,,,,,,,10,,,,,
,72,17,423,1136,2587,-12495,,,,,,,,,,,,-6,,,,,
,140,,1769,5242,8310,47385,,,,,,,,,,,,-2,,,,,
,2231,-18,455,1392,1748,34090,,,,,,,,,,,,-2,,,,,
,-2003,-3,27,105,-216,6935,,,,,,,,,,,,-7,,,,,
,-251,-13,-441,-1269,-1792,-18112,,,,,,,,,,,,11,,,,,
,19,4,-1823,-5311,-7860,-59781,,,,,,,,,,,,-4,,,,,
,-111,,-468,-1412,-2401,-8598,,,,,,,,,,,,8,,,,,
,-56,9,16,22,-420,15980,,,,,,,,,,,,6,,,,,
,578,-9,484,1311,1777,13526,,,,,,,,,,,,-12,,,,,
,1829,9,1813,5096,8493,19401,,,,,,,,,,,,-3,,,,,
,-808,-9,413,1809,3689,206,,,,,,,,,,,,4,,,,,
,-1993,,-38,-524,-1119,-1587,,,,,,,,,,,,-4,,,,,
,421,-22,-440,-1080,-2159,2170,,,,,,,,,,,,3,,,,,
,-287,-8,-1756,-5147,-8695,-13595,,,,,,,,,,,,3,,,,,
,-157,11,-439,-1390,-1999,-7572,,,,,,,,,,,,-6,,,,,
,45,1,-22,-86,536,-5852,,,,,,,,,,,,3,,,,,
,3,-12,415,1254,2062,5548,,,,,,,,,,,,3,,,,,
,28,12,1814,5216,7930,20383,,,,,,,,,,,,,,,,,
,84,-4,480,1506,1906,6330,,,,,,,,,,,,-6,,,,,
,-54,-52,9,-18,250,-2950,,,,,,,,,,,,6,,,,,
,123,43,-494,-1349,-1458,-9258,,,,,,,,,,,,12,,,,,
,755,1,-1811,-5203,-8447,-13616,,,,,,,,,,,,-8,,,,,
,-355,-6,-416,-1400,-2706,538,,,,,,,,,,,,-3,,,,,
,-452,-13,23,100,-300,1989,,,,,,,,,,,,3,,,,,
,-667,-1,465,1246,2301,792,,,,,,,,,,,,6,,,,,
,112,-34,1773,5100,8964,9283,,,,,,,,,,,,,,,,,
,1477,34,416,1430,2212,5969,,,,,,,,,,,,-16,,,,,
,-1525,-34,4,-5,-469,5178,,,,,,,,,,,,3,,,,,
,418,-19,-432,-1166,-2340,-1354,,,,,,,,,,,,13,,,,,
,-37,19,-1784,-5230,-8220,-17913,,,,,,,,,,,,-3,,,,,
,-371,-15,-468,-1496,-1696,-10570,,,,,,,,,,,,-10,,,,,
,1075,-4,-28,-11,-20,1094,,,,,,,,,,,,-2,,,,,
,-1015,,464,1252,1629,8753,,,,,,,,,,,,-8,,,,,
,477,18,1837,5336,8126,17603,,,,,,,,,,,,17,,,,,
,-534,-30,470,1206,1971,1259,,,,,,,,,,,,1,,,,,
,668,11,-20,513,1737,-3880,,,,,,,,,,,,,,,,,
,-206,-10,-494,-1764,-2978,-4289,,,,,,,,,,,,-1,,,,,
,71,,-1802,-5151,-8710,-9879,,,,,,,,,,,,-7,,,,,
,11,-21,-413,-1284,-2514,-2141,,,,,,,,,,,,6,,,,,
,-304,3,11,25,182,-2132,,,,,,,,,,,,-4,,,,,
,-90,-2,430,1129,2628,-2721,,,,,,,,,,,,-4,,,,,
,-281,-12,1761,5232,8477,16106,,,,,,,,,,,,-5,,,,,
,236,11,467,1414,1778,9789,,,,,,,,,,,,3,,,,,
,21,-10,33,74,-339,2297,,,,,,,,,,,,24,,,,,
,122,,-446,-1217,-1894,-5470,,,,,,,,,,,,-7,,,,,
,91,12,-1812,-5329,-7818,-21493,,,,,,,,,,,,-13,,,,,
,122,-12,-480,-1406,-2235,-4172,,,,,,,,,,,,,,,,,
,-107,-10,10,15,-453,5320,,,,,,,,,,,,-4,,,,,
,-122,9,487,1292,1732,5887,,,,,,,,,,,,-7,,,,,
,-259,-19,1801,5243,8567,13612,,,,,,,,,,,,4,,,,,
,109,-11,422,1328,2796,-1761,,,,,,,,,,,,10,,,,,
,2976,10,-28,-13,98,112,,,,,,,,,,,,-12,,,,,
,-2985,1,-455,-1235,-2461,2061,,,,,,,,,,,,-3,,,,,
,-217,,-1746,-5160,-8801,-12963,,,,,,,,,,,,6,,,,,
,-84,2,-426,-1361,-2180,-6209,,,,,,,,,,,,8,,,,,
,70,-2,-28,-95,597,-6168,,,,,,,,,,,,-5,,,,,
,285,-31,403,1193,2186,3250,,,,,,,,,,,,7,,,,,
,141,20,1811,5263,8043,20921,,,,,,,,,,,,-1,,,,,
,-73,1,486,1474,1824,7008,,,,,,,,,,,,-13,,,,,
,396,-20,25,6,38,-1659,,,,,,,,,,,,7,,,,,
