Packet No,App TimeStamp,Sensor TimeStamp,Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Pz (uV),P4 (uV),O1 (uV),O2 (uV),ref (uV),AccX(mg),AccY(mg),AccZ(mg),Event A,Event B
,-107,-13,-1767,-5204,-8850,-26118,,,,,,,,,,,,4,,,,,
,313,37,-413,-1295,-2387,-13299,,,,,,,,,,,,-12,,,,,
,-476,-35,2,-61,404,-14450,,,,,,,,,,,,-2,,,,,
,174,36,420,1162,2561,-8895,,,,,,,,,,,,-1,,,,,
,163,-24,1780,5231,8148,52243,,,,,,,,,,,,6,,,,,
,-90,-12,454,1410,1749,31143,,,,,,,,,,,,13,,,,,
,274,-13,32,104,-178,3773,,,,,,,,,,,,-2,,,,,
,-500,-3,-460,-1274,-1589,-22002,,,,,,,,,,,,-1,,,,,
,51,-14,-1833,-5313,-7984,-54705,,,,,,,,,,,,-6,,,,,
,-8,-2,-468,-1374,-2496,-2902,,,,,,,,,,,,-3,,,,,
,98,14,31,4,-460,14842,,,,,,,,,,,,4,,,,,
,-289,-1,504,1305,1855,10525,,,,,,,,,,,,-3,,,,,
,1924,2,1792,5192,8867,23313,,,,,,,,,,,,-1,,,,,
,-989,-3,408,1359,2701,-1942,,,,,,,,,,,,7,,,,,
,264,-9,-29,2,-236,7474,,,,,,,,,,,,3,,,,,
,-468,-19,-424,-1240,-2530,-1289,,,,,,,,,,,,-4,,,,,
,-679,,-1775,-5295,-8933,-21838,,,,,,,,,,,,-12,,,,,
,723,1,-443,-853,-735,-7004,,,,,,,,,,,,10,,,,,
,-216,-2,-27,-679,-657,-7210,,,,,,,,,,,,1,,,,,
,2675,-1,433,1410,2185,7735,,,,,,,,,,,,1,,,,,
,-2821,2,1816,5257,8023,20013,,,,,,,,,,,,5,,,,,
,408,,483,1522,2019,5781,,,,,,,,,,,,-9,,,,,
,-304,-12,4,-28,398,-4277,,,,,,,,,,,,-3,,,,,
,727,,-508,-1374,-1591,-8642,,,,,,,,,,,,8,,,,,
,694,-23,-1817,-5196,-8612,-11969,,,,,,,,,,,,9,,,,,
,-1445,22,-418,-1377,-2712,123,,,,,,,,,,,,,,,,,
,82,-19,40,101,-205,1346,,,,,,,,,,,,-7,,,,,
,-697,,462,1194,2425,-623,,,,,,,,,,,,-2,,,,,
,288,-10,1770,5107,8932,10171,,,,,,,,,,,,-1,,,,,
,-23,-2,426,1428,2020,7641,,,,,,,,,,,,-12,,,,,
,199,1,7,30,-436,4735,,,,,,,,,,,,,,,,,
,-65,12,-428,-1137,-2269,-1976,,,,,,,,,,,,8,,,,,
,174,-33,-1796,-5268,-8119,-19359,,,,,,,,,,,,5,,,,,
,505,19,-483,-1465,-1726,-9850,,,,,,,,,,,,-3,,,,,
,-393,3,-17,-1,-174,2985,,,,,,,,,,,,5,,,,,
,3149,-20,462,1222,1621,8259,,,,,,,,,,,,1,,,,,
,-3826,,1837,5328,8200,16890,,,,,,,,,,,,-3,,,,,
,912,-12,460,1400,2541,742,,,,,,,,,,,,-7,,,,,
,591,11,-33,-87,537,-5462,,,,,,,,,,,,5,,,,,
,215,-13,-494,-1241,-2168,-670,,,,,,,,,,,,1,,,,,
,-1075,13,-1770,-5230,-8892,-10529,,,,,,,,,,,,-4,,,,,
,1360,-31,-407,-1328,-2595,-3086,,,,,,,,,,,,-6,,,,,
,-1765,19,7,-125,98,-4086,,,,,,,,,,,,7,,,,,
,23,1,429,1638,3597,-35,,,,,,,,,,,,13,,,,,
,80,-20,1765,4692,7295,15876,,,,,,,,,,,,-10,,,,,
,-173,1,458,1577,2070,10006,,,,,,,,,,,,1,,,,,
,145,-11,44,111,-260,1732,,,,,,,,,,,,-3,,,,,
,-58,11,-457,-1251,-1747,-6757,,,,,,,,,,,,-2,,,,,
,77,-10,-1830,-5325,-7873,-21147,,,,,,,,,,,,1,,,,,
,-40,-3,-469,-1400,-2387,-2296,,,,,,,,,,,,3,,,,,
,-96,2,9,25,-430,5098,,,,,,,,,,,,-7,,,,,
,209,-23,484,1323,1820,5249,,,,,,,,,,,,8,,,,,
,487,23,1809,5199,8683,12186,,,,,,,,,,,,-3,,,,,
,-499,-32,409,1317,2779,-1361,,,,,,,,,,,,3,,,,,
,-33,12,-22,17,-85,2056,,,,,,,,,,,,3,,,,,
,62,-11,-428,-1231,-2482,1741,,,,,,,,,,,,-7,,,,,
,2107,,-1779,-5150,-8746,-13609,,,,,,,,,,,,-2,,,,,
,-2116,,-415,-1401,-2022,-7597,,,,,,,,,,,,14,,,,,
,281,1,-40,-97,581,-5824,,,,,,,,,,,,-9,,,,,
,571,-2,415,1235,2022,5279,,,,,,,,,,,,-4,,,,,
,-679,-17,1812,5236,7997,20548,,,,,,,,,,,,,,,,,
,2068,19,474,1508,1893,6410,,,,,,,,,,,,2,,,,,
,-2057,-31,26,7,238,-2784,,,,,,,,,,,,5,,,,,
,-244,-3,-481,-1342,-1446,-9435,,,,,,,,,,,,,,,,,
,219,13,-1828,-5222,-8464,-13856,,,,,,,,,,,,-6,,,,,
,-617,2,-431,-1409,-2738,683,,,,,,,,,,,,-2,,,,,
,5173,-13,38,88,-315,2012,,,,,,,,,,,,6,,,,,
,-3896,12,461,1007,1905,-13,,,,,,,,,,,,4,,,,,
,2999,-13,1757,5759,10220,11825,,,,,,,,,,,,-2,,,,,
,-3896,3,425,821,1030,3481,,,,,,,,,,,,-17,,,,,
,391,,6,190,-138,5904,,,,,,,,,,,,-3,,,,,
,-96,-4,-416,-1160,-2331,-1262,,,,,,,,,,,,17,,,,,
,4477,-29,-1771,-5195,-8209,-17852,,,,,,,,,,,,-1,,,,,
,-2296,,-465,-1511,-1684,-10647,,,,,,,,,,,,6,,,,,
,-2706,12,-43,-8,4,1033,,,,,,,,,,,,-5,,,,,
,628,4,440,1210,1608,8775,,,,,,,,,,,,8,,,,,
,-121,-4,1840,5325,8120,17678,,,,,,,,,,,,-7,,,,,
,2109,-10,473,1437,2383,2157,,,,,,,,,,,,-4,,,,,
,-1991,-3,-42,-105,603,-6193,,,,,,,,,,,,3,,,,,
,1748,-18,-477,-1249,-1996,-2650,,,,,,,,,,,,-2,,,,,
,-1789,2,-1782,-5205,-8881,-10055,,,,,,,,,,,,13,,,,,
,4476,-14,-414,-1311,-2562,-2205,,,,,,,,,,,,-8,,,,,
,-3896,14,26,-5,125,-5341,,,,,,,,,,,,-8,,,,,
,-1182,-12,412,1145,2666,-8633,,,,,,,,,,,,3,,,,,
,-427,,1750,5217,8478,34311,,,,,,,,,,,,-3,,,,,
,-5,10,470,1403,1726,47871,,,,,,,,,,,,5,,,,,
,149,-11,56,104,-328,10379,,,,,,,,,,,,9,,,,,
,31,-19,-450,-1236,-1879,-17858,,,,,,,,,,,,-12,,,,,
,2055,19,-1826,-5321,-7857,-90966,,,,,,,,,,,,,,,,,
,-1564,-12,-468,-1395,-2181,-37764,,,,,,,,,,,,4,,,,,
,338,-20,-17,-13,-437,26492,,,,,,,,,,,,-6,,,,,
,30,12,492,1312,1756,30152,,,,,,,,,,,,-1,,,,,
,597,1,1823,5228,8496,57832,,,,,,,,,,,,-1,,,,,
,-1136,2,418,1170,2491,1779,,,,,,,,,,,,3,,,,,
,230,-3,-31,548,1144,12364,,,,,,,,,,,,9,,,,,
,-310,-31,-455,-1804,-3566,17937,,,,,,,,,,,,-11,,,,,
,640,-2,-1756,-4991,-8427,-52155,,,,,,,,,,,,5,,,,,
,-338,2,-406,-1364,-2127,-69174,,,,,,,,,,,,4,,,,,
,7,1,-23,-111,580,-61107,,,,,,,,,,,,13,,,,,
,24,-13,386,1244,2223,-8737,,,,,,,,,,,,-21,,,,,
,-114,3,1794,5237,8013,133872,,,,,,,,,,,,4,,,,,
,186,10,484,1475,1807,92848,,,,,,,,,,,,11,,,,,
,841,-2,29,33,64,16308,,,,,,,,,,,,-2,,,,,
