Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Disabled (uV),F3 (uV),Fz (uV),F4 (uV),Disabled (uV),C3 (uV),Cz (uV),C4 (uV),Disabled (uV),P3 (uV),Pz (uV),P4 (uV),Disabled (uV),Disabled (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,1078,-14,11,,3,26,6,,7,7,15,,16,12,10,,,-2,,,,,
,-889,13,-1,,,9,9,,-2,20,8,,-3,-7,,,,2,,,,,
,204,-13,7,,-1,-10,-5,,,-5,-3,,-1,-12,4,,,8,,,,,
,-825,3,20,,-2,-6,3,,,4,-5,,4,15,-7,,,-4,,,,,
,339,,-15,,2,,1,,-8,-2,1,,-8,5,-1,,,-6,,,,,
,83,-21,-4,,-3,3,1,,17,-2,-2,,-4,-1,7,,,1,,,,,
,371,3,7,,-9,10,-6,,-9,3,-16,,18,-15,-17,,,-3,,,,,
,177,-3,3,,10,-14,11,,-10,-4,-7,,-7,7,4,,,,,,,,
,2952,16,-18,,7,6,-5,,4,2,11,,-6,5,-5,,,8,,,,,
,-3167,-11,2,,-12,8,-12,,4,-6,11,,7,-11,,,,-6,,,,,
,-352,-4,8,,,-14,5,,-9,2,,,1,12,18,,,-11,,,,,
,134,-1,-5,,-4,15,-3,,7,6,-3,,-4,-2,-7,,,-1,,,,,
,-95,1,18,,16,-9,10,,15,-8,4,,-1,-11,5,,,13,,,,,
,291,-11,-18,,-15,-6,-5,,-16,-17,-13,,-3,2,-4,,,9,,,,,
,-124,-1,-7,,-3,-2,-10,,3,3,,,12,1,-2,,,-8,,,,,
,273,-3,7,,-2,10,16,,2,12,13,,-5,1,-3,,,9,,,,,
,-535,2,15,,10,15,15,,9,7,1,,5,12,23,,,-6,,,,,
,1529,-16,-5,,7,-17,-15,,-10,-3,-5,,-6,-11,-4,,,-6,,,,,
,1974,,-8,,-22,-12,-16,,-10,-16,-11,,-14,,-11,,,5,,,,,
,-3665,2,10,,1,8,4,,11,14,11,,-10,14,1,,,-3,,,,,
,706,15,-12,,2,2,-4,,-18,-8,-6,,-2,-19,-7,,,,,,,,
,-268,-32,-2,,20,2,8,,8,1,6,,11,19,2,,,-1,,,,,
,35,12,3,,,5,14,,10,-3,,,14,-5,-10,,,-4,,,,,
,-400,2,3,,-5,-9,19,,4,12,10,,7,1,9,,,9,,,,,
,540,-2,-11,,-2,-3,-19,,-16,1,-18,,-8,1,-2,,,1,,,,,
,5099,7,5,,10,3,-8,,14,5,6,,7,-5,3,,,-5,,,,,
,-3195,-17,15,,-9,11,14,,3,4,8,,1,-1,-6,,,1,,,,,
,-1925,-1,1,,3,2,,,3,10,-1,,8,22,,,,3,,,,,
,-190,-19,-10,,8,-12,-6,,-8,-7,1,,-12,,5,,,-4,,,,,
,3981,21,-3,,-10,-1,-7,,,-5,-10,,-3,-10,,,,,,,,,
,-3257,-21,-3,,-11,-3,-6,,2,-10,10,,-3,-21,-12,,,-9,,,,,
,-966,1,1,,11,14,12,,6,15,2,,14,6,21,,,16,,,,,
,-44,,-1,,-3,-2,11,,9,-9,,,-8,,2,,,-7,,,,,
,593,,-8,,4,-2,-11,,-22,-4,-13,,-9,-9,-1,,,1,,,,,
,1855,,8,,-1,8,-6,,-1,10,-2,,-1,6,-7,,,2,,,,,
,-2056,30,1,,-13,-18,-10,,-5,-27,-9,,-1,-17,-11,,,-3,,,,,
,81,-30,12,,11,3,19,,10,7,22,,11,11,-2,,,,,,,,
,1293,2,-6,,8,,-6,,3,5,-9,,-8,8,,,,-1,,,,,
,-704,-2,-2,,-13,4,-5,,-29,-4,-1,,-4,3,1,,,11,,,,,
,-585,1,-4,,7,,-10,,14,9,9,,13,4,5,,,2,,,,,
,2693,2,-2,,-3,-14,-8,,-7,,-17,,-8,2,4,,,5,,,,,
,-2042,-3,3,,,5,15,,7,-5,13,,-3,-15,6,,,-13,,,,,
,2693,-2,,,-5,,14,,16,1,-2,,6,-5,,,,-17,,,,,
,-3311,-14,8,,-3,22,-4,,-3,13,14,,2,13,9,,,4,,,,,
,-261,17,-1,,8,-6,-5,,-2,-6,2,,-4,-2,-18,,,11,,,,,
,350,-1,-5,,-6,-1,-9,,-3,-12,-16,,-1,5,1,,,-8,,,,,
,416,,-4,,7,-11,5,,15,4,-6,,-6,2,10,,,1,,,,,
