Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Disabled (uV),F3 (uV),Fz (uV),F4 (uV),Disabled (uV),C3 (uV),Cz (uV),C4 (uV),Disabled (uV),P3 (uV),Pz (uV),P4 (uV),Disabled (uV),Disabled (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,-268,1,7,,8,6,8,,-3,10,13,,1,8,4,,,2,,,,,
,712,-22,-1,,12,8,3,,-8,18,7,,5,7,4,,,-4,,,,,
,2272,20,-11,,-13,-5,-18,,-10,-8,-20,,7,-7,-11,,,-10,,,,,
,-2501,-25,-1,,-6,-6,-7,,10,-23,1,,-3,-26,-4,,,3,,,,,
,780,-3,-26,,-8,-6,9,,-1,2,14,,-24,3,9,,,5,,,,,
,-862,-4,29,,32,32,16,,9,22,9,,14,30,27,,,4,,,,,
,-116,12,12,,,-6,-5,,-8,-9,-13,,-4,-8,-15,,,-9,,,,,
,1038,3,-10,,-15,-20,-13,,-5,-5,,,,-14,-23,,,-5,,,,,
,-1294,1,3,,-9,-16,-4,,6,1,-1,,-8,5,-2,,,5,,,,,
,449,-13,9,,6,12,-5,,-3,4,-5,,12,-11,6,,,8,,,,,
,-128,9,5,,13,27,18,,12,20,2,,-1,9,12,,,3,,,,,
,-197,-9,6,,3,-2,5,,7,-6,4,,11,-4,2,,,-2,,,,,
,-261,,-5,,-13,-19,-6,,-32,-12,-19,,-4,-14,-1,,,-6,,,,,
,2094,-22,-7,,-5,-9,,,-5,-7,13,,-12,-2,-7,,,6,,,,,
,-2162,,-4,,-17,-3,-14,,18,-10,-9,,2,-4,2,,,4,,,,,
,1240,-2,-5,,17,-1,6,,-12,20,2,,-2,7,5,,,-5,,,,,
,3633,18,6,,7,15,-4,,9,6,11,,11,10,-5,,,-13,,,,,
,-1641,-1,-8,,-12,3,2,,13,-5,2,,-5,6,-14,,,-2,,,,,
,-2579,-9,-6,,7,-6,6,,-9,-11,7,,-7,3,18,,,13,,,,,
,147,16,8,,13,-12,-3,,-6,2,5,,,4,,,,2,,,,,
,-634,-12,12,,-10,16,-5,,-3,6,-6,,2,-11,-3,,,1,,,,,
,2482,11,-10,,-6,8,14,,4,,,,,1,4,,,-2,,,,,
,-2527,-11,-3,,5,-14,-5,,4,-11,3,,8,18,6,,,-2,,,,,
,3960,,-5,,,-9,-15,,-6,-10,-16,,-10,-2,-7,,,3,,,,,
,-3509,-19,-7,,-4,8,-2,,3,,-4,,4,-27,-6,,,,,,,,
,-778,-7,10,,7,6,17,,5,16,8,,9,2,4,,,1,,,,,
,-31,25,2,,-2,4,5,,1,4,3,,5,,14,,,-3,,,,,
,641,-17,6,,18,13,22,,15,13,20,,10,34,23,,,-2,,,,,
,-420,1,1,,-12,,-19,,-8,-3,-7,,-16,-15,-18,,,-4,,,,,
,217,-1,-16,,-23,-22,-16,,-10,-20,-31,,-9,-12,-30,,,6,,,,,
,-124,,10,,16,12,17,,7,12,12,,15,9,10,,,-10,,,,,
,368,,10,,4,-5,-4,,,9,8,,-7,3,6,,,,,,,,
,42,,,,-5,-2,-7,,6,-8,,,-4,1,3,,,4,,,,,
,-552,,,,1,2,,,-11,-15,8,,5,,10,,,-1,,,,,
,864,,-15,,-16,-13,-13,,-17,5,-18,,-8,4,-18,,,2,,,,,
,-1151,-45,14,,17,7,21,,22,2,8,,4,-4,17,,,4,,,,,
,474,-2,-4,,-2,-9,,,6,-1,4,,7,-3,-12,,,5,,,,,
,1327,-1,-16,,-10,-5,-15,,-14,-18,-15,,-12,-15,-18,,,1,,,,,
,-707,40,1,,-3,9,8,,-7,10,3,,-14,-2,17,,,-5,,,,,
,-58,-17,8,,18,11,,,6,20,,,16,2,3,,,-4,,,,,
,3221,-2,-2,,-8,-8,2,,6,-10,11,,5,10,-14,,,3,,,,,
,-3302,-17,-5,,2,-3,13,,7,-16,2,,-3,-2,1,,,-9,,,,,
,3295,-1,4,,,3,1,,-10,9,-3,,-7,-3,10,,,2,,,,,
,-2193,2,2,,4,11,4,,14,20,4,,11,14,-3,,,2,,,,,
,-1291,-19,10,,12,-3,1,,-2,7,-7,,12,8,10,,,1,,,,,
,239,18,-4,,-13,-8,-20,,-4,-22,-1,,-14,-19,,,,-2,,,,,
,-282,-12,7,,,-9,-2,,-10,-3,-7,,-1,7,-11,,,-2,,,,,
,873,10,3,,5,3,3,,-4,2,2,,5,-11,4,,,-2,,,,,
,-498,-10,-15,,,2,-18,,7,-3,-6,,-11,-5,-8,,,-2,,,,,
,3017,-15,12,,11,8,21,,17,20,18,,8,32,23,,,10,,,,,
,-3451,11,-5,,-5,-9,4,,-13,-13,-4,,-1,-6,-20,,,3,,,,,
,699,4,-4,,-8,2,-6,,-16,-2,-16,,3,-18,-9,,,-3,,,,,
,-12,-19,-13,,-21,7,-15,,2,-1,-11,,-7,-5,5,,,-15,,,,,
,-538,,5,,6,-2,10,,9,-7,-2,,-8,8,13,,,5,,,,,
,71,4,-2,,10,-2,13,,12,20,17,,26,3,4,,,15,,,,,
,-120,-22,6,,1,15,-9,,-3,-9,4,,-6,-8,-8,,,3,,,,,
,381,14,-1,,2,10,7,,-2,5,3,,-4,5,10,,,4,,,,,
,-520,-11,4,,-9,-15,22,,-9,5,-4,,-18,8,-10,,,-3,,,,,
,964,15,8,,5,-7,-14,,11,2,4,,10,-6,13,,,,,,,,
,-507,-28,,,,12,-15,,-5,-9,,,14,2,-3,,,-6,,,,,
,1,-3,-2,,3,13,9,,7,2,4,,1,9,,,,-2,,,,,
,-202,-2,9,,17,-18,2,,7,10,8,,-1,-10,8,,,-5,,,,,
,-316,18,-12,,-19,-28,-17,,-12,-12,-16,,-16,-23,-17,,,-9,,,,,
,358,5,,,1,2,3,,-7,5,2,,9,14,-1,,,3,,,,,
,368,-22,4,,-3,14,3,,10,5,3,,-4,9,-2,,,7,,,,,
,-783,,-8,,-6,10,14,,-9,-9,-2,,9,-6,-4,,,-2,,,,,
,4411,1,12,,2,5,,,-1,-1,-1,,9,3,9,,,7,,,,,
,-3045,-15,11,,17,12,-10,,5,,8,,-1,10,-2,,,8,,,,,
,-1274,9,-12,,-6,-9,1,,-4,9,-7,,-10,2,-6,,,-2,,,,,
,253,-8,-16,,-4,-1,-1,,-4,-13,8,,-2,-2,-11,,,-4,,,,,
,21,15,13,,28,-3,9,,21,9,16,,9,-6,33,,,-1,,,,,
,773,-16,-9,,-14,-7,-5,,-10,-8,-16,,-12,-9,-11,,,4,,,,,
,-708,1,8,,-17,-4,-11,,-3,3,-4,,-10,9,-15,,,-4,,,,,
,-183,-17,-25,,-11,-5,-5,,-14,-12,-17,,,,,,,-3,,,,,
,-182,,11,,15,7,10,,9,17,15,,3,-7,14,,,-1,,,,,
,-111,21,12,,-2,-5,5,,7,4,-4,,-5,-7,-10,,,8,,,,,
,168,-20,7,,-5,3,-2,,-10,-10,-4,,5,12,-12,,,-5,,,,,
,486,3,-13,,9,-1,7,,5,-4,15,,3,9,17,,,6,,,,,
,-338,-4,-9,,-12,-1,-22,,-10,-6,-9,,-8,-8,3,,,-10,,,,,
,1974,-1,5,,1,15,13,,-1,13,2,,20,-7,-2,,,-1,,,,,
,-2687,2,4,,-2,-8,-3,,9,5,-5,,-6,5,4,,,10,,,,,
,968,10,,,4,7,7,,5,2,3,,10,10,-2,,,-5,,,,,
,-149,-11,2,,9,10,3,,-5,-7,12,,-15,6,3,,,-4,,,,,
,248,1,5,,3,-7,4,,9,2,8,,8,4,-11,,,4,,,,,
,-811,-18,-3,,-22,-16,-15,,-5,-5,-13,,-12,-27,-8,,,3,,,,,
,227,18,-12,,4,-12,-9,,-7,,-6,,-10,3,8,,,8,,,,,
,1082,-3,,,2,10,2,,-2,-1,-9,,4,-2,,,,-3,,,,,
,-693,2,16,,-1,10,13,,9,2,8,,19,15,7,,,2,,,,,
,1436,-15,-11,,4,-10,1,,-10,,10,,-8,-7,-3,,,2,,,,,
,-338,15,-9,,6,1,-16,,2,-2,-8,,-7,-7,-9,,,-10,,,,,
,-1595,-16,20,,-3,12,4,,13,12,,,7,17,5,,,-17,,,,,
,1542,-1,-1,,-6,8,11,,,-5,1,,-1,-5,16,,,19,,,,,
,-904,-25,-5,,5,-11,-5,,-17,-8,-11,,2,-9,-7,,,11,,,,,
,-398,31,-4,,14,-10,9,,17,13,,,10,11,-3,,,-5,,,,,
,660,-32,18,,,8,-4,,6,4,8,,-13,-9,4,,,-4,,,,,
,-830,26,-4,,7,3,-1,,-7,-12,9,,9,16,-1,,,7,,,,,
,9,-6,-7,,-22,2,9,,2,2,12,,8,9,4,,,-4,,,,,
,381,7,-7,,-1,-4,-24,,-1,-6,-11,,-16,-20,-2,,,-15,,,,,
,-639,-8,15,,6,16,15,,5,4,2,,13,-4,9,,,-1,,,,,
,-77,-38,-9,,-12,-8,-9,,-17,5,2,,-2,-1,-8,,,-3,,,,,
,-152,,13,,17,-9,16,,-2,-1,8,,-10,11,-3,,,3,,,,,
,4626,-2,-4,,16,2,-4,,4,-6,-5,,8,3,2,,,8,,,,,
,-3533,41,-8,,-11,1,-7,,-2,-8,-19,,-4,-15,5,,,2,,,,,
,-672,-18,,,-3,-2,4,,12,1,8,,8,3,-1,,,-12,,,,,
,547,-21,-11,,-10,-8,1,,-5,7,10,,-11,2,-2,,,,,,,,
,20,,9,,4,6,-6,,-9,2,8,,-1,-7,-5,,,2,,,,,
,138,20,9,,16,10,10,,10,9,-12,,12,7,-3,,,8,,,,,
,214,-9,-6,,-13,-11,-13,,-5,-1,-5,,-12,-7,-6,,,-1,,,,,
,1225,-21,-4,,-10,-1,18,,-10,-4,-1,,-7,3,4,,,,,,,,
,-2007,-3,7,,-6,-4,-12,,2,1,-1,,15,7,5,,,,,,,,
,738,-1,-7,,4,11,-11,,3,-11,-2,,-10,-11,3,,,5,,,,,
,-9,-13,-7,,-2,1,-6,,10,-8,,,6,-2,4,,,2,,,,,
,1252,26,-8,,4,9,12,,,-1,8,,-3,-14,-4,,,-7,,,,,
,-1647,-31,7,,15,-12,4,,-3,-1,-4,,13,9,-8,,,-4,,,,,
,-653,-2,8,,4,-24,-13,,-7,6,-10,,-5,5,-2,,,11,,,,,
,985,4,1,,-12,-3,11,,8,7,16,,5,12,-3,,,4,,,,,
,-816,17,-5,,5,12,8,,-1,-5,1,,1,4,8,,,-7,,,,,
,2357,-29,9,,4,19,-2,,-4,20,-6,,-13,11,4,,,-1,,,,,
,-2059,10,-9,,-13,-24,-5,,1,-10,-13,,-2,-8,1,,,-2,,,,,
,-171,-8,-13,,-18,-1,2,,-7,-12,-9,,-13,-19,-15,,,-3,,,,,
,682,-4,18,,26,15,,,17,18,21,,20,18,15,,,14,,,,,
,-747,14,-10,,5,7,-3,,-14,-10,-5,,-5,3,-3,,,-17,,,,,
,-472,-15,-5,,-10,-18,-7,,-6,-15,-7,,-11,2,-9,,,4,,,,,
,552,4,-13,,-8,,-8,,-4,,-2,,,-14,-6,,,1,,,,,
,427,11,18,,-2,19,-2,,4,17,14,,7,1,12,,,1,,,,,
,-918,-30,-5,,15,-10,14,,1,,-14,,,-16,-10,,,5,,,,,
,2323,16,14,,-5,5,10,,7,2,2,,-9,8,19,,,-8,,,,,
,-1838,-7,4,,7,6,-10,,12,-6,15,,5,5,12,,,3,,,,,
,64,10,2,,5,-2,-1,,-2,-1,2,,7,4,1,,,4,,,,,
,414,,-9,,-6,2,,,-5,,-14,,8,-6,-22,,,-9,,,,,
,-449,-4,3,,-4,-6,12,,6,-7,9,,13,3,5,,,2,,,,,
,241,-14,10,,3,13,-6,,7,15,11,,3,-12,,,,-3,,,,,
,137,-3,-11,,-4,3,4,,-8,7,-3,,-22,7,-7,,,5,,,,,
,-124,13,2,,-4,-12,-20,,-10,-18,-10,,-4,-7,-6,,,9,,,,,
,-288,-9,-15,,2,-14,6,,-7,1,2,,-9,-8,-3,,,4,,,,,
,-193,-17,15,,1,2,2,,2,-1,-3,,4,13,4,,,3,,,,,
,412,6,9,,3,6,-8,,8,-7,-6,,6,11,3,,,-19,,,,,
,585,22,-2,,1,-5,9,,11,3,10,,-3,1,5,,,-2,,,,,
,-787,-7,-9,,-15,-3,6,,-6,4,-3,,,-17,-1,,,5,,,,,
,327,-25,2,,13,1,-5,,-1,11,-6,,-9,-4,10,,,,,,,,
,-401,-1,-5,,-5,-13,-7,,-14,-14,-17,,1,-7,-24,,,11,,,,,
,-209,13,9,,1,17,20,,22,10,10,,20,15,17,,,-8,,,,,
,492,4,11,,3,,-6,,1,6,15,,,15,6,,,-8,,,,,
,-111,-6,-5,,3,7,-3,,-5,-5,1,,5,7,-10,,,8,,,,,
,-268,6,-18,,2,-7,5,,-1,-8,-5,,-15,-20,-1,,,2,,,,,
,238,-15,-15,,-19,-17,-7,,-19,-20,-14,,-9,-13,-2,,,-2,,,,,
,-150,15,21,,7,17,8,,24,22,12,,12,6,5,,,-15,,,,,
,338,-10,-3,,6,18,23,,-2,9,7,,-10,5,,,,2,,,,,
,-361,10,-18,,-1,-4,-21,,-14,-6,-5,,10,10,-9,,,16,,,,,
,2180,-10,-2,,4,-17,-28,,-14,-16,-10,,-6,-3,-4,,,-5,,,,,
,-2462,-19,26,,12,12,29,,21,9,15,,4,3,21,,,-1,,,,,
,316,2,17,,6,17,2,,19,16,11,,19,,8,,,11,,,,,
,121,17,-1,,-23,-5,9,,-5,3,2,,-5,4,-6,,,,,,,,
,19,2,-17,,3,-11,-18,,-16,-11,-12,,-2,,-5,,,-15,,,,,
,-89,-20,-1,,8,-9,5,,1,-6,-7,,-1,-6,-16,,,4,,,,,
,-151,,-2,,-4,-2,-4,,12,6,-10,,-15,-5,-2,,,9,,,,,
,524,,-8,,-11,12,-6,,1,,-7,,,9,3,,,-4,,,,,
,-458,-1,3,,15,-1,19,,-2,-7,15,,6,-2,,,,-3,,,,,
,-74,8,-6,,-17,-6,-14,,-14,-17,-3,,-2,-13,,,,-7,,,,,
,-86,-7,-22,,-11,-3,-13,,-22,3,2,,-5,-9,-3,,,4,,,,,
,560,,20,,5,-1,,,8,15,1,,4,-5,5,,,4,,,,,
,-1113,,6,,3,-4,-2,,5,10,-15,,5,,9,,,-6,,,,,
,1060,-30,-5,,8,7,18,,11,3,13,,9,15,3,,,1,,,,,
,225,-3,9,,-8,2,-7,,3,-3,1,,-6,7,-1,,,-3,,,,,
,-21,,6,,18,-2,-2,,6,-12,15,,5,-11,-4,,,8,,,,,
,-774,,-13,,-4,-4,-1,,8,8,-15,,-5,1,1,,,-7,,,,,
,-122,,17,,-9,25,9,,2,13,8,,4,22,10,,,5,,,,,
,3894,,9,,6,-3,9,,-8,3,3,,1,3,-14,,,15,,,,,
,-3640,-14,-18,,-5,-16,-18,,-17,-24,-9,,-23,-9,-4,,,-10,,,,,
,77,23,-4,,-15,-9,-9,,5,-10,-1,,-1,-9,-4,,,-5,,,,,
,312,-23,9,,9,,12,,-1,20,9,,14,-24,18,,,-1,,,,,
,-221,14,-3,,7,5,6,,-3,12,-20,,10,19,-3,,,8,,,,,
,10,,6,,-9,7,9,,1,-13,-7,,-15,14,-14,,,3,,,,,
,161,,-11,,6,1,-10,,-1,1,8,,3,-9,1,,,-5,,,,,
,-190,-14,2,,-9,-20,-7,,-5,-11,-1,,4,-13,7,,,3,,,,,
,-97,13,8,,6,19,4,,18,5,10,,10,27,5,,,3,,,,,
,595,-31,8,,-12,3,3,,-2,17,,,,2,,,,-11,,,,,
,1255,18,-3,,1,-19,-3,,-9,-1,1,,-9,5,-10,,,-4,,,,,
,-994,6,-23,,1,,-12,,-10,-10,-3,,-10,-12,-5,,,-1,,,,,
,-937,-3,2,,8,5,1,,3,-13,-3,,-3,-18,,,,9,,,,,
,44,-3,17,,9,13,1,,5,11,6,,6,10,8,,,,,,,,
,376,-30,4,,14,,6,,13,-3,2,,9,-7,-5,,,-10,,,,,
,2211,3,-2,,-5,2,-3,,-6,-1,-2,,-8,1,2,,,6,,,,,
,-2973,5,1,,1,1,29,,-3,12,-1,,-4,15,14,,,10,,,,,
,1128,8,-6,,-7,-10,-12,,3,-16,,,8,-9,14,,,-7,,,,,
,-223,-3,-10,,-8,-7,-15,,3,-8,-7,,-9,2,-16,,,-3,,,,,
,2224,,,,13,7,11,,-6,7,10,,8,12,-9,,,6,,,,,
,-2939,-10,,,-1,1,-1,,-5,-1,-3,,-13,-21,6,,,6,,,,,
,1404,10,10,,-4,-8,-8,,-5,2,-7,,-4,-2,4,,,-10,,,,,
,-1554,-1,,,-3,10,2,,10,-11,13,,3,2,-4,,,4,,,,,
,50,-12,-1,,-13,-2,-1,,-3,6,-8,,9,-3,1,,,-3,,,,,
,220,,,,14,4,7,,-12,15,-1,,-3,5,12,,,2,,,,,
,569,3,-12,,,-7,-12,,1,-12,3,,-7,,-9,,,-8,,,,,
,-855,-16,5,,-14,-5,-5,,-7,-4,-5,,9,2,-6,,,-1,,,,,
,1047,-10,13,,10,10,7,,18,6,4,,-1,15,3,,,-2,,,,,
,-705,1,-19,,-2,-9,3,,3,1,2,,7,-2,,,,6,,,,,
,-105,-9,27,,23,13,13,,19,15,20,,19,,5,,,6,,,,,
,493,4,-8,,15,-1,-10,,-2,9,,,1,2,3,,,3,,,,,
,-536,-4,-12,,-20,-16,-13,,-9,-26,-23,,-33,-15,-13,,,3,,,,,
,-135,12,11,,2,3,16,,-1,4,6,,15,10,5,,,3,,,,,
,608,-12,-9,,-10,5,-1,,-10,,,,-2,8,,,,-17,,,,,
,-136,13,12,,3,20,3,,18,7,-12,,7,-13,15,,,12,,,,,
,1380,-1,-6,,-8,-14,4,,-5,-10,-6,,-5,-2,-5,,,-5,,,,,
,-1595,-31,-4,,-8,5,-13,,-10,7,20,,4,5,-7,,,-10,,,,,
,-132,2,21,,20,23,9,,11,13,19,,-4,9,8,,,8,,,,,
,-16,4,-11,,8,-11,10,,-2,-16,-10,,13,1,-2,,,-2,,,,,
,3,-4,-4,,,-20,2,,-8,-7,-14,,-2,7,2,,,-2,,,,,
,763,-2,1,,3,2,10,,9,1,12,,-7,-8,-18,,,-5,,,,,
,-1151,2,-6,,-12,,-14,,-2,-1,-7,,-11,-17,-2,,,2,,,,,
,230,36,-4,,-1,-1,-17,,-1,2,-6,,-5,-12,1,,,-6,,,,,
,1094,-33,5,,-11,4,1,,10,9,8,,10,21,11,,,11,,,,,
,1258,-12,15,,1,4,12,,-12,-3,10,,10,-1,-1,,,6,,,,,
,-2215,7,-18,,4,7,-5,,-7,2,-17,,1,5,-14,,,-13,,,,,
,601,-7,-20,,-4,-17,-27,,-3,,-18,,-18,-6,-10,,,13,,,,,
,-200,9,13,,7,7,30,,16,,22,,10,4,29,,,-10,,,,,
,-308,-10,1,,-10,-14,5,,-6,-9,-8,,-12,-9,-12,,,,,,,,
,-245,-21,,,13,14,-7,,2,1,2,,19,6,6,,,3,,,,,
,256,20,7,,12,13,,,-6,14,7,,,8,7,,,-7,,,,,
,174,1,-5,,-25,-7,-4,,-16,-3,-3,,-5,-6,-5,,,1,,,,,
,118,-26,-13,,6,-10,-8,,17,1,-13,,-3,-1,-3,,,2,,,,,
,1032,6,18,,5,-9,12,,5,14,9,,,9,5,,,9,,,,,
,-1073,9,27,,7,9,15,,12,2,14,,15,4,-7,,,,,,,,
,-175,-8,-6,,,12,-9,,-15,-10,1,,-13,1,-11,,,-1,,,,,
,-313,-1,-25,,-2,-11,-16,,-8,-17,-14,,-1,-16,-2,,,-10,,,,,
,-153,1,,,-26,-2,-1,,2,,,,-1,2,18,,,4,,,,,
,65,-1,1,,15,-6,5,,2,,1,,-2,7,,,,3,,,,,
,4180,1,-1,,17,6,1,,14,20,15,,3,14,5,,,,,,,,
,-815,-1,4,,-14,-4,-2,,6,3,-8,,1,-2,2,,,-7,,,,,
,217,-9,-19,,-13,-14,-11,,-21,-8,-30,,-7,-16,-21,,,-5,,,,,
,-2485,-4,15,,13,11,1,,-7,-8,18,,14,1,11,,,4,,,,,
,-729,-15,11,,-10,1,10,,-7,3,1,,-7,2,-9,,,4,,,,,
,-125,19,-2,,5,12,6,,6,-5,-2,,-12,5,7,,,-1,,,,,
,615,-2,4,,7,,8,,11,-2,10,,18,-3,20,,,11,,,,,
,-139,-21,9,,5,-5,5,,7,1,5,,-5,-4,-5,,,-8,,,,,
,-143,,-4,,-9,-7,-15,,-5,-4,-1,,-3,-2,-20,,,-2,,,,,
,555,4,-12,,,-5,-3,,-5,5,-4,,-7,-5,-13,,,-6,,,,,
,891,-4,4,,,12,-4,,1,3,-5,,2,-10,13,,,11,,,,,
,-803,,-6,,-1,7,-16,,-8,-6,-4,,3,-3,,,,12,,,,,
,-1210,-13,-4,,-7,-8,10,,-2,3,9,,,-5,-1,,,-7,,,,,
,249,2,16,,7,3,6,,9,5,2,,-3,9,10,,,-15,,,,,
,488,-2,-11,,3,-6,-3,,3,-17,-1,,5,3,,,,2,,,,,
,-992,13,-3,,-5,,13,,10,10,,,-5,,4,,,6,,,,,
,944,-13,-9,,-13,-7,-4,,-12,-9,-12,,-3,-4,-18,,,-7,,,,,
,242,-13,-5,,-2,-7,-14,,-12,-4,-9,,-9,1,-4,,,11,,,,,
,305,-9,21,,10,29,10,,16,11,28,,17,16,24,,,-4,,,,,
,298,4,-7,,6,-10,-8,,-5,-4,3,,,-1,2,,,-10,,,,,
,-1339,20,2,,-3,-9,3,,-2,2,-5,,-11,5,-12,,,5,,,,,
,826,-20,7,,3,8,7,,-3,2,-6,,-2,-14,3,,,17,,,,,
,-728,,9,,-10,1,7,,6,6,-6,,-1,7,1,,,-6,,,,,
,-108,,-20,,-14,-5,-8,,-3,-5,-3,,2,-3,-7,,,-1,,,,,
,-56,-13,-12,,17,2,,,-2,2,8,,16,1,9,,,4,,,,,
,552,13,1,,16,-9,5,,4,-2,-13,,-11,4,-15,,,-2,,,,,
,-429,-10,15,,13,12,-3,,15,21,13,,-2,,3,,,-4,,,,,
,-34,,-3,,-16,-13,-9,,-25,-26,-5,,-5,-5,1,,,2,,,,,
,-94,-17,10,,-1,6,9,,-2,5,4,,9,6,12,,,4,,,,,
,76,,-9,,20,6,10,,27,16,8,,5,7,8,,,3,,,,,
,748,-5,7,,-13,4,-6,,7,-6,4,,7,-8,-2,,,-5,,,,,
,-619,23,,,-10,-9,-14,,-15,-7,-6,,-14,-3,-34,,,-7,,,,,
,569,-21,4,,-1,-1,-5,,-9,-7,2,,4,-9,18,,,-3,,,,,
,-228,,-23,,-9,-13,5,,,,-21,,3,-6,2,,,-5,,,,,
,-105,,4,,5,9,5,,14,10,8,,2,9,-4,,,7,,,,,
,-4,-2,3,,-7,10,-9,,-15,-3,2,,-17,-14,-6,,,,,,,,
,104,,2,,,,3,,-17,7,-9,,8,-4,2,,,11,,,,,
,412,-11,9,,19,-4,12,,21,1,12,,16,10,-2,,,-2,,,,,
,-952,17,-5,,-11,2,-14,,-1,-10,,,-6,1,-2,,,-1,,,,,
,621,-17,3,,13,4,9,,1,21,8,,5,17,14,,,3,,,,,
,-237,13,10,,5,-2,3,,25,1,1,,9,-4,-1,,,-13,,,,,
,-519,-26,-8,,-20,-6,-11,,-3,-27,-17,,-15,-7,-16,,,-3,,,,,
,44,-5,4,,1,13,19,,-2,12,6,,-4,8,4,,,,,,,,
,1320,26,-10,,-7,1,-5,,-10,8,-8,,-2,-10,-4,,,7,,,,,
,-1155,-26,1,,9,-9,-8,,-4,14,13,,,3,15,,,4,,,,,
,231,22,17,,19,4,25,,2,-8,8,,13,22,20,,,9,,,,,
,4328,-22,-4,,-33,-12,-13,,-16,-13,-19,,-11,-25,-22,,,-1,,,,,
,-3345,-1,-13,,-7,-2,-6,,-6,-1,1,,-7,-20,-11,,,-9,,,,,
,-1431,-10,8,,20,13,-13,,20,,15,,4,17,17,,,-6,,,,,
,255,1,1,,8,-5,15,,-2,6,,,1,8,4,,,4,,,,,
,206,-1,-7,,-4,2,,,-15,-9,-10,,7,-5,-5,,,-2,,,,,
,-185,1,7,,-10,-9,3,,3,,-9,,-4,-9,-3,,,-2,,,,,
,-167,,7,,7,2,2,,8,11,10,,-3,19,9,,,3,,,,,
,6089,10,-17,,-13,-3,-23,,-1,-12,-12,,-5,-17,-18,,,-2,,,,,
,-3163,-23,5,,16,7,14,,20,-2,23,,14,12,7,,,-2,,,,,
,-3550,15,12,,13,8,12,,-7,15,3,,1,24,12,,,5,,,,,
,1378,-46,-18,,-20,1,-16,,-8,-10,-12,,-11,-17,-13,,,1,,,,,
,79,44,-1,,6,-10,-9,,-9,-1,-1,,-9,-14,-3,,,3,,,,,
,-541,-42,11,,12,12,15,,24,15,20,,36,16,20,,,3,,,,,
,380,25,-2,,-21,-13,-16,,-26,-18,-17,,-26,-7,-11,,,-14,,,,,
,-531,17,4,,18,15,23,,17,8,-2,,1,16,5,,,8,,,,,
,439,-45,-7,,-6,-4,-2,,-1,5,4,,4,-3,-12,,,-4,,,,,
,-697,3,7,,2,-3,-3,,2,-1,10,,2,-6,8,,,5,,,,,
,3487,,5,,-5,15,-1,,3,-3,-3,,-3,-6,-15,,,-4,,,,,
,-3015,,-11,,-12,-1,,,-12,5,-8,,-10,,4,,,5,,,,,
,-575,-14,-3,,12,-16,12,,-4,8,3,,24,9,19,,,8,,,,,
,2599,13,5,,8,-7,17,,6,-3,5,,-1,-9,,,,-4,,,,,
,-3170,,-12,,-12,-3,-24,,-4,-2,-9,,-26,-1,-4,,,-8,,,,,
,342,-20,10,,5,8,-12,,4,-13,-1,,6,5,-7,,,2,,,,,
,498,-12,-1,,-2,2,-3,,-4,-18,-16,,8,3,5,,,-9,,,,,
,397,-2,-2,,-6,-3,-14,,-13,6,1,,,-12,2,,,6,,,,,
,-279,23,16,,4,-2,11,,8,19,2,,-1,1,-5,,,-1,,,,,
,9,,-11,,6,-3,-6,,-5,-13,8,,-5,-3,-11,,,5,,,,,
,-296,-18,,,11,7,17,,7,-8,7,,3,7,4,,,3,,,,,
,176,-4,,,-13,4,-2,,4,2,9,,-2,5,1,,,-10,,,,,
,-269,-13,1,,-11,-6,,,-8,7,-5,,-8,,1,,,3,,,,,
,-63,15,-8,,9,12,-9,,3,5,-26,,2,-10,1,,,7,,,,,
,789,2,-20,,-17,-14,-10,,-13,-18,-19,,-7,-8,-8,,,-5,,,,100,
,-212,-2,21,,9,-2,9,,3,4,31,,15,,-3,,,-5,,,,-100,
,239,-10,9,,11,14,9,,21,8,21,,2,17,11,,,8,,,,,
,1890,10,-5,,6,8,7,,9,4,-19,,2,1,4,,,4,,,,,
,-2963,-30,5,,14,-8,6,,4,9,1,,3,2,7,,,-9,,,,,
,1492,19,-15,,-14,-10,-15,,-25,11,3,,-8,-13,-15,,,-3,,,,,
,-272,-2,5,,,3,11,,10,-4,-6,,6,6,-4,,,-3,,,,,
,1907,-18,-1,,-17,-5,-8,,-9,-15,-2,,-13,-10,-8,,,-5,,,,,
,-3058,4,8,,2,-1,,,-6,-7,5,,-4,-6,7,,,,,,,,
,817,-14,-6,,16,6,3,,5,10,-3,,-6,13,8,,,11,,,,,
,-515,12,-12,,-16,-6,-11,,-8,-7,-15,,10,,-5,,,-7,,,,,
,3054,-12,20,,10,5,21,,14,15,22,,20,19,2,,,2,,,,,
,-3670,10,1,,4,-7,-1,,5,4,10,,-6,-10,1,,,2,,,,,
,1108,-10,-2,,-1,-2,-21,,-14,-11,-12,,-4,-18,3,,,6,,,,,
,-358,-1,-1,,10,6,6,,10,5,-7,,-14,-7,,,,-6,,,,,
,2103,1,-8,,-18,3,2,,-3,-5,1,,-4,9,-3,,,-2,,,,,
,-2230,6,-14,,-14,-9,-2,,-4,-17,-3,,7,-3,,,,-5,,,,,
,584,-25,7,,16,-8,6,,1,7,5,,12,10,-1,,,,,,,,
