Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Right arm 1 (uV),Right arm 2 (uV),Left leg (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
1867,7901976,492228385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.66605,1.7433,-14.3934,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
,-108,-12,,,,,,,,,-1,-8,-17,,,,,,,,,,
,286,1,,,,,,,,,3,7,-4,,,,,,,,,,
,913,1,,,,,,,,,-3,3,8,,,,,,,,,,
,-1053,-1,,,,,,,,,-2,1,6,,,,,,,,,,
,-373,14,,,,,,,,,20,3,-1,,,,,,,,,,
,90,-32,,,,,,,,,6,-8,-1,,,,,,,,,,
,449,17,,,,,,,,,-26,2,-8,,,,,,,,,,
,-134,2,,,,,,,,,4,10,-3,,,,,,,,,,
,240,-20,,,,,,,,,1,12,3,,,,,,,,,,
,-516,,,,,,,,,,,-18,4,,,,,,,,,,
,634,4,,,,,,,,,-1,-4,-1,,,,,,,,,,
,353,-5,,,,,,,,,1,15,8,,,,,,,,,,
,-646,-12,,,,,,,,,-12,-7,6,,,,,,,,,,
,-157,2,,,,,,,,,26,15,1,,,,,,,,,,
,353,9,,,,,,,,,2,5,-9,,,,,,,,,,
,-405,-9,,,,,,,,,-17,-21,-5,,,,,,,,,,
,-420,-20,,,,,,,,,7,10,,,,,,,,,,,
,122,,,,,,,,,,-17,-4,-1,,,,,,,,,,
,524,-11,,,,,,,,,2,-13,8,,,,,,,,,,
,341,12,,,,,,,,,11,-3,2,,,,,,,,,,
,1751,-1,,,,,,,,,4,6,-8,,,,,,,,,,
,-1533,-12,,,,,,,,,-6,-1,5,,,,,,,,,,
,-739,1,,,,,,,,,-7,-7,-3,,,,,,,,,,
,676,,,,,,,,,,8,12,-8,,,,,,,,,,
,-90,-20,,,,,,,,,-7,1,5,,,,,,,,,,
,-1034,1,,,,,,,,,2,1,-2,,,,,,,,,,
,947,-1,,,,,,,,,-4,-1,12,,,,,,,,,,
,-107,,,,,,,,,,4,-6,-2,,,,,,,,,,
,-918,-12,,,,,,,,,11,2,-11,,,,,,,,,,
,1943,2,,,,,,,,,2,-11,2,,,,,,,,,,
,-2397,-7,,,,,,,,,-3,-4,-3,,,,,,,,,,
,517,16,,,,,,,,,2,14,,,,,,,,,,,
,90,-11,,,,,,,,,-4,9,7,,,,,,,,,,
,-328,2,,,,,,,,,-4,,5,,,,,,,,,,
,239,-1,,,,,,,,,-6,4,1,,,,,,,,,,
,-430,,,,,,,,,,7,2,6,,,,,,,,,,
,1245,-18,,,,,,,,,7,-19,-5,,,,,,,,,,
,-570,-3,,,,,,,,,-7,,-2,,,,,,,,,,
,-247,-13,,,,,,,,,14,6,-3,,,,,,,,,,
,895,4,,,,,,,,,-1,,3,,,,,,,,,,
,-332,10,,,,,,,,,2,-2,-3,,,,,,,,,,
,-60,-10,,,,,,,,,-5,3,-2,,,,,,,,,,
,136,10,,,,,,,,,-2,1,-4,,,,,,,,,,
,-336,-10,,,,,,,,,-8,5,-3,,,,,,,,,,
,547,-21,,,,,,,,,-3,-2,-1,,,,,,,,,,
,-718,21,,,,,,,,,12,-11,11,,,,,,,,,,
,1969,-31,,,,,,,,,-4,-7,4,,,,,,,,,,
,-2419,12,,,,,,,,,-6,3,-6,,,,,,,,,,
,1309,-11,,,,,,,,,3,-1,-6,,,,,,,,,,
,-619,-1,,,,,,,,,5,8,-4,,,,,,,,,,
,824,-1,,,,,,,,,-4,3,1,,,,,,,,,,
,-1345,12,,,,,,,,,7,5,6,,,,,,,,,,
,1147,-10,,,,,,,,,,-3,,,,,,,,,,,
,-517,-24,,,,,,,,,-6,-2,5,,,,,,,,,,
,-328,24,,,,,,,,,4,-8,7,,,,,,,,,,
,441,-20,,,,,,,,,-3,-2,-3,,,,,,,,,,
,380,-13,,,,,,,,,-3,9,-13,,,,,,,,,,
,-96,2,,,,,,,,,6,-2,1,,,,,,,,,,
,-1016,,,,,,,,,,5,5,-3,,,,,,,,,,
,1171,,,,,,,,,,-12,-8,,,,,,,,,,,
,-1084,10,,,,,,,,,,11,5,,,,,,,,,,
,552,2,,,,,,,,,-6,-11,4,,,,,,,,,,
,-568,-12,,,,,,,,,1,8,1,,,,,,,,,,
,408,-7,,,,,,,,,7,9,,,,,,,,,,,
,189,-5,,,,,,,,,,-14,8,,,,,,,,,,
,-323,-13,,,,,,,,,7,7,-10,,,,,,,,,,
,284,13,,,,,,,,,-8,-15,-2,,,,,,,,,,
,563,,,,,,,,,,-4,7,12,,,,,,,,,,
,188,10,,,,,,,,,-5,7,-6,,,,,,,,,,
,-532,-9,,,,,,,,,2,-1,4,,,,,,,,,,
,-760,-26,,,,,,,,,-7,-5,-8,,,,,,,,,,
,1139,25,,,,,,,,,,-7,-8,,,,,,,,,,
,-156,-17,,,,,,,,,2,9,1,,,,,,,,,,
,-101,-28,,,,,,,,,9,6,3,,,,,,,,,,
,-1167,4,,,,,,,,,-1,5,-5,,,,,,,,,,
,424,-1,,,,,,,,,8,-4,9,,,,,,,,,,
,544,,,,,,,,,,-11,6,-7,,,,,,,,,,
,-83,,,,,,,,,,15,5,-4,,,,,,,,,,
,-327,-20,,,,,,,,,-4,-9,3,,,,,,,,,,
,1218,-2,,,,,,,,,-11,,6,,,,,,,,,,
,3580,4,,,,,,,,,15,-6,9,,,,,,,,,,
,-2941,-2,,,,,,,,,-11,-2,1,,,,,,,,,,
,-3171,-7,,,,,,,,,-4,5,-5,,,,,,,,,,
,1065,5,,,,,,,,,8,-5,-8,,,,,,,,,,
,1141,1,,,,,,,,,14,18,-1,,,,,,,,,,
,-130,6,,,,,,,,,-20,-10,4,,,,,,,,,,
,-953,-16,,,,,,,,,3,-11,-3,,,,,,,,,,
,252,,,,,,,,,,8,-2,-7,,,,,,,,,,
,371,-21,,,,,,,,,6,24,13,,,,,,,,,,
,-238,6,,,,,,,,,-6,-4,9,,,,,,,,,,
,44,12,,,,,,,,,-20,-24,-8,,,,,,,,,,
,240,-19,,,,,,,,,1,-5,-10,,,,,,,,,,
,4644,1,,,,,,,,,9,2,-7,,,,,,,,,,
,-3795,-14,,,,,,,,,-3,7,9,,,,,,,,,,
,-2031,3,,,,,,,,,8,6,17,,,,,,,,,,
,3967,12,,,,,,,,,-11,-5,-4,,,,,,,,,,
,-3016,-1,,,,,,,,,-9,-6,,,,,,,,,,,
,1595,-13,,,,,,,,,12,13,-13,,,,,,,,,,
,-2104,9,,,,,,,,,-1,4,-14,,,,,,,,,,
,86,-26,,,,,,,,,11,3,15,,,,,,,,,,
,522,-2,,,,,,,,,7,-15,7,,,,,,,,,,
,125,-11,,,,,,,,,-7,3,,,,,,,,,,,
,-219,2,,,,,,,,,-3,-2,-15,,,,,,,,,,
,-566,10,,,,,,,,,5,-3,3,,,,,,,,,,
,569,-14,,,,,,,,,-15,2,8,,,,,,,,,,
,-569,9,,,,,,,,,3,-3,4,,,,,,,,,,
,1376,-8,,,,,,,,,-3,-1,9,,,,,,,,,,
,-1022,-18,,,,,,,,,5,19,-21,,,,,,,,,,
,-241,22,,,,,,,,,-15,1,5,,,,,,,,,,
,932,-3,,,,,,,,,15,-11,11,,,,,,,,,,
,-234,-13,,,,,,,,,3,-12,-9,,,,,,,,,,
,-235,-4,,,,,,,,,2,9,-9,,,,,,,,,,
,2621,-1,,,,,,,,,7,5,12,,,,,,,,,,
,-2941,-8,,,,,,,,,-10,-11,5,,,,,,,,,,
,3398,8,,,,,,,,,-9,-1,-9,,,,,,,,,,
,-3169,,,,,,,,,,-15,-6,-3,,,,,,,,,,
,1746,,,,,,,,,,33,21,4,,,,,,,,,,
,-2092,-16,,,,,,,,,12,8,13,,,,,,,,,,
,307,,,,,,,,,,-22,-18,-13,,,,,,,,,,
,-512,,,,,,,,,,,1,4,,,,,,,,,,
,-526,-27,,,,,,,,,-3,3,6,,,,,,,,,,
,2522,26,,,,,,,,,10,-1,-6,,,,,,,,,,
,-1824,,,,,,,,,,15,3,-1,,,,,,,,,,
,177,1,,,,,,,,,-13,16,6,,,,,,,,,,
,1691,-24,,,,,,,,,-18,-12,4,,,,,,,,,,
,-1695,4,,,,,,,,,9,-8,-3,,,,,,,,,,
,766,-27,,,,,,,,,-7,10,-18,,,,,,,,,,
,-581,6,,,,,,,,,12,-6,6,,,,,,,,,,
,1207,16,,,,,,,,,-4,-6,-2,,,,,,,,,,
,-2098,-16,,,,,,,,,1,8,-3,,,,,,,,,,
,776,4,,,,,,,,,3,,16,,,,,,,,,,
,3792,-22,,,,,,,,,-11,-6,-1,,,,,,,,,,
,-3272,1,,,,,,,,,-11,11,-5,,,,,,,,,,
,-364,1,,,,,,,,,6,2,,,,,,,,,,,
,11,-16,,,,,,,,,19,-7,-13,,,,,,,,,,
,425,-3,,,,,,,,,-8,,8,,,,,,,,,,
,-900,,,,,,,,,,3,2,6,,,,,,,,,,
,-175,,,,,,,,,,9,2,-4,,,,,,,,,,
,-92,-13,,,,,,,,,-1,-4,-14,,,,,,,,,,
,97,14,,,,,,,,,1,-6,11,,,,,,,,,,
,258,-12,,,,,,,,,1,3,11,,,,,,,,,,
,-207,-1,,,,,,,,,-13,3,2,,,,,,,,,,
,341,16,,,,,,,,,,6,-1,,,,,,,,,,
,-112,-15,,,,,,,,,4,9,-8,,,,,,,,,,
,-417,-18,,,,,,,,,-3,-18,-3,,,,,,,,,,
,-64,-5,,,,,,,,,-3,,2,,,,,,,,,,
,82,2,,,,,,,,,3,4,3,,,,,,,,,,
,650,1,,,,,,,,,6,8,-2,,,,,,,,,,
,1763,18,,,,,,,,,-4,-6,2,,,,,,,,,,
,-2455,-17,,,,,,,,,-2,-6,-1,,,,,,,,,,
,-535,,,,,,,,,,-7,,-11,,,,,,,,,,
,630,-9,,,,,,,,,5,-5,8,,,,,,,,,,
,-514,-5,,,,,,,,,1,-3,-1,,,,,,,,,,
,-105,6,,,,,,,,,4,1,10,,,,,,,,,,
,314,1,,,,,,,,,13,9,-7,,,,,,,,,,
,-336,-7,,,,,,,,,-13,10,2,,,,,,,,,,
,416,-5,,,,,,,,,,-2,-1,,,,,,,,,,
,-311,2,,,,,,,,,8,-2,-4,,,,,,,,,,
,205,9,,,,,,,,,-3,-1,-3,,,,,,,,,,
,-113,7,,,,,,,,,-15,-24,5,,,,,,,,,,
,387,,,,,,,,,,8,-5,9,,,,,,,,,,
,-28,-28,,,,,,,,,,17,2,,,,,,,,,,
,-370,-4,,,,,,,,,-1,7,-7,,,,,,,,,,
,114,22,,,,,,,,,-1,-19,-7,,,,,,,,,,
,467,-17,,,,,,,,,5,-5,3,,,,,,,,,,
,34,-4,,,,,,,,,-1,14,,,,,,,,,,,
,-396,2,,,,,,,,,8,11,,,,,,,,,,,
,-120,-2,,,,,,,,,-10,-5,6,,,,,,,,,,
,792,1,,,,,,,,,1,9,-4,,,,,,,,,,
,-124,,,,,,,,,,-3,6,1,,,,,,,,,,
,70,,,,,,,,,,5,-12,-2,,,,,,,,,,
,56,,,,,,,,,,2,1,-13,,,,,,,,,,
,-538,-26,,,,,,,,,-16,-4,-2,,,,,,,,,,
,608,26,,,,,,,,,19,6,17,,,,,,,,,,
,642,-47,,,,,,,,,9,-7,8,,,,,,,,,,
,-908,17,,,,,,,,,-11,1,-8,,,,,,,,,,
,-280,-3,,,,,,,,,-4,-6,4,,,,,,,,,,
,-435,-11,,,,,,,,,-7,5,-7,,,,,,,,,,
,-176,1,,,,,,,,,11,18,-9,,,,,,,,,,
,-204,9,,,,,,,,,5,2,9,,,,,,,,,,
,27,-26,,,,,,,,,-4,-12,6,,,,,,,,,,
,220,13,,,,,,,,,1,-2,-13,,,,,,,,,,
,217,,,,,,,,,,-5,6,5,,,,,,,,,,
,-40,-30,,,,,,,,,12,-4,12,,,,,,,,,,
,-269,17,,,,,,,,,-17,-10,-5,,,,,,,,,,
,813,-17,,,,,,,,,-6,5,-8,,,,,,,,,,
,345,13,,,,,,,,,6,1,8,,,,,,,,,,
,-1124,-10,,,,,,,,,7,-2,-3,,,,,,,,,,
,-182,,,,,,,,,,6,-6,-5,,,,,,,,,,
,1663,2,,,,,,,,,1,2,4,,,,,,,,,,
,-1527,-5,,,,,,,,,-12,10,,,,,,,,,,,
,665,-19,,,,,,,,,7,3,7,,,,,,,,,,
,-392,1,,,,,,,,,-12,,1,,,,,,,,,,
,455,,,,,,,,,,3,-11,-4,,,,,,,,,,
,-461,,,,,,,,,,5,10,1,,,,,,,,,,
,-251,5,,,,,,,,,5,5,12,,,,,,,,,,
,-59,-18,,,,,,,,,-5,-10,,,,,,,,,,,
,-38,3,,,,,,,,,7,3,-6,,,,,,,,,,
,1470,-16,,,,,,,,,-5,,-12,,,,,,,,,,
,-214,-4,,,,,,,,,-14,-18,5,,,,,,,,,,
,816,21,,,,,,,,,-4,16,-1,,,,,,,,,,
,-244,-21,,,,,,,,,11,9,-3,,,,,,,,,,
,-451,,,,,,,,,,9,-2,8,,,,,,,,,,
,-355,,,,,,,,,,-6,-2,-10,,,,,,,,,,
,390,-9,,,,,,,,,4,-8,-1,,,,,,,,,,
,-29,12,,,,,,,,,-3,8,-1,,,,,,,,,,
,-678,-12,,,,,,,,,2,3,3,,,,,,,,,,
,-189,-21,,,,,,,,,-13,-6,,,,,,,,,,,
,113,19,,,,,,,,,-5,4,-5,,,,,,,,,,
,474,-18,,,,,,,,,-7,-14,6,,,,,,,,,,
,-758,-1,,,,,,,,,12,-7,-8,,,,,,,,,,
,1110,1,,,,,,,,,2,12,8,,,,,,,,,,
,-312,-11,,,,,,,,,4,10,4,,,,,,,,,,
,119,10,,,,,,,,,17,-5,2,,,,,,,,,,
,-724,-11,,,,,,,,,-13,,3,,,,,,,,,,
,-89,-17,,,,,,,,,-15,-3,-9,,,,,,,,,,
,-194,18,,,,,,,,,20,-9,3,,,,,,,,,,
,-105,-22,,,,,,,,,-8,4,-10,,,,,,,,,,
,-211,,,,,,,,,,-5,13,7,,,,,,,,,,
,413,,,,,,,,,,-1,-20,2,,,,,,,,,,
,-315,-2,,,,,,,,,8,8,1,,,,,,,,,,
,1042,-11,,,,,,,,,-1,6,-4,,,,,,,,,,
,-728,13,,,,,,,,,-7,-14,-2,,,,,,,,,,
,654,-9,,,,,,,,,,17,3,,,,,,,,,,
,-688,12,,,,,,,,,15,-11,2,,,,,,,,,,
,2387,-16,,,,,,,,,9,14,-5,,,,,,,,,,
,-2769,13,,,,,,,,,-8,10,-6,,,,,,,,,,
,157,-10,,,,,,,,,-1,-3,6,,,,,,,,,,
,44,-21,,,,,,,,,,-5,5,,,,,,,,,,
,-37,3,,,,,,,,,-12,-16,-1,,,,,,,,,,
,-278,-7,,,,,,,,,-4,-12,9,,,,,,,,,,
,115,-6,,,,,,,,,17,4,-6,,,,,,,,,,
,-69,10,,,,,,,,,-9,7,7,,,,,,,,,,
,141,,,,,,,,,,-2,4,-7,,,,,,,,,,
,1968,-32,,,,,,,,,6,-9,-3,,,,,,,,,,
,-2188,16,,,,,,,,,-8,7,3,,,,,,,,,,
,280,-14,,,,,,,,,8,9,,,,,,,,,,,
,-154,20,,,,,,,,,-1,-3,-5,,,,,,,,,,
,10,-20,,,,,,,,,3,-5,-7,,,,,,,,,,
,57,-10,,,,,,,,,-14,-1,-6,,,,,,,,,,
,83,13,,,,,,,,,1,,12,,,,,,,,,,
,959,-16,,,,,,,,,10,-9,-1,,,,,,,,,,
,-692,13,,,,,,,,,-2,13,,,,,,,,,,,
,-140,-31,,,,,,,,,6,-9,-3,,,,,,,,,,
,1069,18,,,,,,,,,3,4,9,,,,,,,,,,
,-1281,-13,,,,,,,,,-8,5,3,,,,,,,,,,
,-12,-5,,,,,,,,,9,,-12,,,,,,,,,,
,1480,7,,,,,,,,,10,2,-1,,,,,,,,,,
,-1489,6,,,,,,,,,-13,-5,9,,,,,,,,,,
,232,-13,,,,,,,,,3,5,,,,,,,,,,,
,-77,,,,,,,,,,-5,9,8,,,,,,,,,,
,596,,,,,,,,,,1,12,-12,,,,,,,,,,
,-1021,-54,,,,,,,,,-6,-19,3,,,,,,,,,,
,-14,,,,,,,,,,-4,2,-5,,,,,,,,,,
,-37,,,,,,,,,,1,,-4,,,,,,,,,,
,223,59,,,,,,,,,-2,-17,,,,,,,,,,,
,196,-59,,,,,,,,,7,5,5,,,,,,,,,,
,-193,-10,,,,,,,,,1,3,14,,,,,,,,,,
,-245,-1,,,,,,,,,4,2,-9,,,,,,,,,,
,323,11,,,,,,,,,-14,5,-1,,,,,,,,,,
,80,-25,,,,,,,,,5,-9,11,,,,,,,,,,
,1395,24,,,,,,,,,,4,-2,,,,,,,,,,
,-877,-30,,,,,,,,,-5,,-10,,,,,,,,,,
,348,22,,,,,,,,,7,12,13,,,,,,,,,,
,-236,-1,,,,,,,,,5,-8,-8,,,,,,,,,,
,-762,-20,,,,,,,,,-15,2,2,,,,,,,,,,
,486,1,,,,,,,,,-1,9,,,,,,,,,,,
,-640,-12,,,,,,,,,19,-18,-16,,,,,,,,,,
,-142,11,,,,,,,,,4,3,1,,,,,,,,,,
,452,-11,,,,,,,,,-6,-8,,,,,,,,,,,
,-59,,,,,,,,,,-3,-5,17,,,,,,,,,,
,-227,,,,,,,,,,5,15,-5,,,,,,,,,,
,350,-20,,,,,,,,,,-7,,,,,,,,,,,
,1052,1,,,,,,,,,-5,6,-1,,,,,,,,,,
,-1635,-12,,,,,,,,,-12,9,-4,,,,,,,,,,
,3127,1,,,,,,,,,9,1,4,,,,,,,,,,
,-1913,-1,,,,,,,,,4,,-1,,,,,,,,,,
,1862,,,,,,,,,,-11,4,13,,,,,,,,,,
,-2694,1,,,,,,,,,7,-22,-3,,,,,,,,,,
,145,-21,,,,,,,,,8,9,-12,,,,,,,,,,
,-436,,,,,,,,,,-6,-5,-5,,,,,,,,,,
,503,18,,,,,,,,,-2,-20,-3,,,,,,,,,,
,-315,2,,,,,,,,,-5,6,1,,,,,,,,,,
,1142,-32,,,,,,,,,6,7,2,,,,,,,,,,
,-559,2,,,,,,,,,-8,12,,,,,,,,,,,
,3600,2,,,,,,,,,-6,20,-5,,,,,,,,,,
,-3337,6,,,,,,,,,8,-15,6,,,,,,,,,,
,-282,3,,,,,,,,,2,1,1,,,,,,,,,,
,-63,,,,,,,,,,-6,-11,3,,,,,,,,,,
,-32,-32,,,,,,,,,2,4,,,,,,,,,,,
,128,18,,,,,,,,,9,9,-2,,,,,,,,,,
,-539,3,,,,,,,,,11,10,-4,,,,,,,,,,
,1400,-20,,,,,,,,,-5,-2,-1,,,,,,,,,,
,-894,1,,,,,,,,,-11,-4,4,,,,,,,,,,
,592,-11,,,,,,,,,13,1,1,,,,,,,,,,
,-880,-1,,,,,,,,,,-17,1,,,,,,,,,,
,1323,11,,,,,,,,,-2,-4,1,,,,,,,,,,
,-799,,,,,,,,,,-2,5,2,,,,,,,,,,
,-218,-31,,,,,,,,,-9,-6,-2,,,,,,,,,,
,4739,1,,,,,,,,,1,13,2,,,,,,,,,,
,-3328,19,,,,,,,,,-14,-2,-2,,,,,,,,,,
,-1082,-2,,,,,,,,,-5,-10,,,,,,,,,,,
,1451,-18,,,,,,,,,18,8,10,,,,,,,,,,
,-1799,-9,,,,,,,,,-2,-2,-8,,,,,,,,,,
,1065,-2,,,,,,,,,7,18,-3,,,,,,,,,,
,-1034,,,,,,,,,,-9,-10,7,,,,,,,,,,
,-90,11,,,,,,,,,5,-23,-4,,,,,,,,,,
,705,-31,,,,,,,,,3,9,-5,,,,,,,,,,
,121,22,,,,,,,,,9,8,2,,,,,,,,,,
,-270,-1,,,,,,,,,-10,-7,6,,,,,,,,,,
,-536,-20,,,,,,,,,,-16,-3,,,,,,,,,,
,1646,-13,,,,,,,,,7,33,1,,,,,,,,,,
,257,14,,,,,,,,,-9,5,1,,,,,,,,,,
,-1813,-2,,,,,,,,,8,-17,1,,,,,,,,,,
,99,-9,,,,,,,,,1,9,1,,,,,,,,,,
,-439,-1,,,,,,,,,2,-8,-6,,,,,,,,,,
,1007,,,,,,,,,,-11,1,3,,,,,,,,,,
,1373,6,,,,,,,,,7,-2,1,,,,,,,,,,
,-1482,-14,,,,,,,,,-12,7,2,,,,,,,,,,
,-402,5,,,,,,,,,-3,-14,6,,,,,,,,,,
,77,-30,,,,,,,,,11,10,-16,,,,,,,,,,
,259,2,,,,,,,,,-4,9,11,,,,,,,,,,
,-1130,1,,,,,,,,,8,-12,7,,,,,,,,,,
,1189,-1,,,,,,,,,-12,-7,1,,,,,,,,,,
,-287,,,,,,,,,,-11,8,-10,,,,,,,,,,
,-26,9,,,,,,,,,32,16,-8,,,,,,,,,,
,-134,-30,,,,,,,,,5,-5,5,,,,,,,,,,
,402,1,,,,,,,,,-14,-7,-6,,,,,,,,,,
,343,,,,,,,,,,-2,-10,-2,,,,,,,,,,
,-865,-1,,,,,,,,,-5,15,2,,,,,,,,,,
,85,10,,,,,,,,,-2,4,1,,,,,,,,,,
,19,-19,,,,,,,,,-8,-17,-4,,,,,,,,,,
,650,10,,,,,,,,,15,18,9,,,,,,,,,,
,-1092,-11,,,,,,,,,4,-10,10,,,,,,,,,,
,-23,12,,,,,,,,,-4,-8,-3,,,,,,,,,,
,353,-31,,,,,,,,,4,2,-8,,,,,,,,,,
,4474,21,,,,,,,,,-10,,-11,,,,,,,,,,
,-3778,4,,,,,,,,,4,-3,9,,,,,,,,,,
,-799,-26,,,,,,,,,-2,6,7,,,,,,,,,,
,2884,-8,,,,,,,,,4,-5,-9,,,,,,,,,,
,-3527,-1,,,,,,,,,-10,18,,,,,,,,,,,
,904,-1,,,,,,,,,-5,-7,5,,,,,,,,,,
,391,8,,,,,,,,,,-18,5,,,,,,,,,,
,-815,-7,,,,,,,,,-1,-8,-13,,,,,,,,,,
,7,-20,,,,,,,,,8,20,6,,,,,,,,,,
,1263,18,,,,,,,,,12,-2,-7,,,,,,,,,,
,-799,1,,,,,,,,,-20,-10,5,,,,,,,,,,
,1329,-32,,,,,,,,,5,2,-1,,,,,,,,,,
,-1352,,,,,,,,,,13,3,-5,,,,,,,,,,
,173,1,,,,,,,,,-5,7,2,,,,,,,,,,
,-787,,,,,,,,,,-6,-2,1,,,,,,,,,,
,3,10,,,,,,,,,14,-2,15,,,,,,,,,,
,1380,-9,,,,,,,,,-15,-6,-10,,,,,,,,,,
,-316,9,,,,,,,,,-2,1,-1,,,,,,,,,,
,-1215,-31,,,,,,,,,1,1,,,,,,,,,,,
,134,46,,,,,,,,,-1,8,-6,,,,,,,,,,
,736,-25,,,,,,,,,7,16,2,,,,,,,,,,
,2388,-31,,,,,,,,,-1,-20,10,,,,,,,,,,
,-3055,30,,,,,,,,,7,10,-3,,,,,,,,,,
,1235,-29,,,,,,,,,-8,-2,13,,,,,,,,,,
,-1109,,,,,,,,,,1,2,-9,,,,,,,,,,
,473,,,,,,,,,,14,-5,-7,,,,,,,,,,
,-222,,,,,,,,,,-4,-8,16,,,,,,,,,,
,-2,-7,,,,,,,,,-10,-5,-18,,,,,,,,,,
,304,-4,,,,,,,,,,9,-15,,,,,,,,,,
,-511,1,,,,,,,,,7,6,13,,,,,,,,,,
,-561,,,,,,,,,,-12,-5,3,,,,,,,,,,
,-101,1,,,,,,,,,7,6,-1,,,,,,,,,,
,2208,6,,,,,,,,,-6,-6,1,,,,,,,,,,
,-1855,-28,,,,,,,,,8,-5,8,,,,,,,,,,
,-27,30,,,,,,,,,4,8,-11,,,,,,,,,,
,212,-30,,,,,,,,,-5,5,5,,,,,,,,,,
,-389,-6,,,,,,,,,-6,-2,2,,,,,,,,,,
,199,23,,,,,,,,,11,5,3,,,,,,,,,,
,253,2,,,,,,,,,-4,-2,-3,,,,,,,,,,
,-244,-17,,,,,,,,,11,9,2,,,,,,,,,,
,-92,,,,,,,,,,-10,-13,6,,,,,,,,,,
,-251,-9,,,,,,,,,4,-2,-3,,,,,,,,,,
,432,-17,,,,,,,,,-6,-3,-10,,,,,,,,,,
,1237,17,,,,,,,,,-3,-4,,,,,,,,,,,
,-296,-29,,,,,,,,,6,10,-3,,,,,,,,,,
,-1213,-11,,,,,,,,,-11,-8,-3,,,,,,,,,,
,180,2,,,,,,,,,1,4,5,,,,,,,,,,
,-681,20,,,,,,,,,2,7,-2,,,,,,,,,,
,179,-11,,,,,,,,,,-11,-2,,,,,,,,,,
,218,-19,,,,,,,,,10,3,5,,,,,,,,,,
,277,-3,,,,,,,,,,17,9,,,,,,,,,,
,4595,13,,,,,,,,,3,-6,-7,,,,,,,,,,
,-1944,-24,,,,,,,,,-16,-10,9,,,,,,,,,,
,-3193,10,,,,,,,,,13,4,-6,,,,,,,,,,
,215,-17,,,,,,,,,-14,-10,6,,,,,,,,,,
,932,2,,,,,,,,,-8,-7,-11,,,,,,,,,,
,-663,16,,,,,,,,,7,18,-7,,,,,,,,,,
,5,-18,,,,,,,,,1,-5,2,,,,,,,,,,
,296,13,,,,,,,,,8,-1,-5,,,,,,,,,,
,-317,-13,,,,,,,,,9,1,15,,,,,,,,,,
,345,-12,,,,,,,,,6,,4,,,,,,,,,,
,-257,-1,,,,,,,,,-9,-2,4,,,,,,,,,,
,1174,,,,,,,,,,-8,,-9,,,,,,,,,,
,-1443,-12,,,,,,,,,2,1,-6,,,,,,,,,,
,146,12,,,,,,,,,5,9,2,,,,,,,,,,
,-115,-18,,,,,,,,,-6,-12,2,,,,,,,,,,
,1202,,,,,,,,,,-13,3,-2,,,,,,,,,,
,-817,2,,,,,,,,,15,4,3,,,,,,,,,,
,2018,-15,,,,,,,,,1,-2,-1,,,,,,,,,,
,-432,26,,,,,,,,,5,,2,,,,,,,,,,
,-2237,-12,,,,,,,,,-8,-6,1,,,,,,,,,,
,255,,,,,,,,,,-3,5,-2,,,,,,,,,,
,-320,-31,,,,,,,,,,-11,-8,,,,,,,,,,
,1456,,,,,,,,,,-10,-12,8,,,,,,,,,,
,-1655,7,,,,,,,,,8,13,11,,,,,,,,,,
,233,-6,,,,,,,,,5,8,-4,,,,,,,,,,
,72,1,,,,,,,,,-16,-2,-3,,,,,,,,,,
,228,-1,,,,,,,,,16,-10,,,,,,,,,,,
,-59,1,,,,,,,,,-3,15,-4,,,,,,,,,,
,-121,,,,,,,,,,-10,7,-13,,,,,,,,,,
,-247,,,,,,,,,,12,-1,18,,,,,,,,,,
,693,-17,,,,,,,,,10,-8,8,,,,,,,,,,
,-40,-1,,,,,,,,,-5,-13,-12,,,,,,,,,,
,-363,,,,,,,,,,-6,10,6,,,,,,,,,,
,1106,-7,,,,,,,,,2,,,,,,,,,,,,
,-842,7,,,,,,,,,10,,-8,,,,,,,,,,
,-262,-8,,,,,,,,,-12,,-4,,,,,,,,,,
,-92,9,,,,,,,,,1,-1,1,,,,,,,,,,
,678,-1,,,,,,,,,6,17,2,,,,,,,,,,
,-544,2,,,,,,,,,-6,-4,-9,,,,,,,,,,
,-175,-48,,,,,,,,,6,-15,12,,,,,,,,,,
,481,21,,,,,,,,,-6,4,2,,,,,,,,,,
,-402,-21,,,,,,,,,12,2,8,,,,,,,,,,
,-171,21,,,,,,,,,1,-2,-8,,,,,,,,,,
,3229,-18,,,,,,,,,1,3,-5,,,,,,,,,,
,-2685,,,,,,,,,,-14,12,2,,,,,,,,,,
,239,-1,,,,,,,,,-5,-11,4,,,,,,,,,,
,-653,5,,,,,,,,,4,-8,-9,,,,,,,,,,
,1066,-6,,,,,,,,,4,-6,5,,,,,,,,,,
,-375,-2,,,,,,,,,-5,-1,6,,,,,,,,,,
,446,-30,,,,,,,,,7,,-1,,,,,,,,,,
