Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Fp1 (uV),Fp2 (uV),F3 (uV),Fz (uV),F4 (uV),T3 (uV),C3 (uV),Cz (uV),C4 (uV),T4 (uV),P3 (uV),Pz (uV),P4 (uV),O1 (uV),O2 (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,-323,-2,4,5,4,-6,7,9,-3,-3,1,1,4,,2,3,-2,14,,,,,
,221,15,-3,,-11,-8,11,-4,-1,-12,4,-5,-3,-3,10,-2,6,7,,,,,
,-57,-1,-2,-5,9,6,6,-12,-6,4,-8,2,-4,-18,-15,-13,-7,-14,,,,,
,414,1,-5,-9,-5,10,-18,-7,9,6,-15,-3,3,11,-1,7,7,3,,,,,
,-371,-2,18,11,-4,1,2,1,1,-3,1,4,-6,7,-5,10,4,14,,,,,
,79,2,,1,12,4,1,16,-6,10,10,2,6,-8,4,-7,-1,10,,,,,
,272,-22,-16,-5,16,-14,3,,6,2,-8,4,-3,-2,4,-10,-5,-15,,,,,
,131,7,6,2,-6,-3,-5,-9,-3,-2,20,-4,,12,-8,1,10,-8,,,,,
,-598,-16,,7,-13,,,7,7,-10,4,-8,6,-1,11,4,5,-6,,,,,
,260,26,-2,-4,2,9,7,,-8,6,-6,-9,-7,-3,2,3,-17,5,,,,,
,35,-26,-2,1,-7,-14,3,-12,-6,-8,-1,12,1,5,-9,-3,9,5,,,,,
,-490,1,8,-1,2,,-11,7,14,4,-2,4,,-1,-2,3,1,-3,,,,,
,1292,-1,-11,-11,-6,-3,-7,-2,-2,-4,,-2,7,-2,7,-5,-1,1,,,,,
,-1312,,-3,-7,1,5,5,-5,-12,,-9,2,-2,-4,10,-3,-10,-4,,,,,
,330,3,4,10,-1,,1,2,3,-5,-5,-3,-6,-8,3,2,13,3,,,,,
,-69,-1,-6,2,-4,3,6,7,-2,9,5,-2,-9,8,-3,5,-3,1,,,,,
,828,-3,15,3,11,4,4,4,7,10,12,3,10,-4,-9,-1,-13,,,,,,
,-741,-12,2,-3,5,-9,-10,-14,-4,-14,2,-5,-4,8,4,2,13,9,,,,,
,-441,12,-8,-1,-5,5,-2,,5,-3,-8,-4,,-13,-3,3,-2,-16,,,,,
,65,-9,1,7,14,2,7,7,1,,6,3,10,13,-13,-1,6,1,,,,,
,1985,8,7,-1,-10,5,-2,-2,12,3,7,18,12,5,5,1,1,5,,,,,
,-1159,-12,3,,-4,8,4,6,3,15,-2,-11,-9,1,3,,-14,4,,,,,
,-122,4,-3,1,9,-4,-10,1,-17,-11,-12,-10,-13,-9,3,-5,5,-10,,,,,
,111,-4,,-12,-3,8,1,4,3,-2,10,12,-6,-4,8,-6,10,6,,,,,
,5264,,-3,8,-9,-6,2,-5,-2,-7,,14,5,2,-11,-5,-9,1,,,,,
,-3598,4,5,6,-2,-18,-3,-13,-8,5,-16,-15,11,-5,-2,13,-2,-5,,,,,
,-1961,-5,-5,9,17,9,9,10,16,6,8,-6,5,-1,4,-1,1,-14,,,,,
,1056,-13,-14,-1,3,2,-8,-2,7,6,-1,2,-10,1,-6,-4,5,11,,,,,
,-784,18,5,-13,-11,-10,-1,4,-8,-9,-2,7,7,7,-1,-1,-13,8,,,,,
,829,-20,12,2,-5,1,9,4,-4,9,-4,-2,-7,8,6,8,11,-18,,,,,
,-119,,-12,-12,9,-12,-15,-14,-8,-12,8,,4,5,9,4,15,5,,,,,
,-873,24,10,7,-4,8,15,10,-4,12,6,-6,1,-5,-7,-8,-21,15,,,,,
,-66,-20,,17,4,11,7,3,,5,9,18,4,-2,-1,,-3,-3,,,,,
,-257,-11,-3,-17,-2,6,-7,-12,10,-9,-1,1,,1,10,-3,11,,,,,,
,269,10,-8,,-6,-6,-1,-5,12,-4,-14,-19,-5,4,3,-1,4,-2,,,,,
,1054,-3,7,,-1,-2,5,2,-8,-7,10,1,-2,-11,-4,17,4,-11,,,,,
,-1577,2,1,1,9,5,2,10,,13,-8,-2,-5,-2,-14,-10,-13,8,,,,,
,883,-3,1,6,8,-1,-5,5,-5,5,4,1,2,8,-2,1,5,10,,,,,
,-398,1,-6,-7,-15,-9,1,4,3,2,-5,-6,5,-9,5,2,4,-6,,,,,
,418,,13,2,-1,4,1,-6,5,-11,3,7,-4,9,6,-6,-6,-5,,,,,
,-604,-17,-3,1,4,4,5,-6,-3,2,,-1,,3,-5,-6,2,9,,,,,
,682,,-2,-2,5,5,-10,-8,-7,-3,,3,8,-4,-1,11,-6,3,,,,,
,29,,-11,5,1,-1,-2,-2,7,-5,8,3,-6,5,5,7,-2,-1,,,,,
,-484,1,-8,-4,-8,11,-3,12,3,1,-8,-14,-7,-4,3,-1,,-4,,,,,
,870,-1,9,6,5,-8,-2,-4,5,11,,,1,-3,11,-7,6,,,,,,
,1761,18,10,-3,-20,-16,-3,-4,-18,-7,-1,18,11,,-7,-6,,-4,,,,,
,-2335,-42,-6,-5,7,-2,3,1,13,-6,-6,-3,2,-5,3,13,16,-2,,,,,
,-76,25,15,13,13,6,8,11,-4,7,4,-2,-5,2,-7,-3,-17,8,,,,,
,-71,-8,-16,-9,-14,,-1,-16,-11,1,5,-4,-3,4,3,-5,-3,-10,,,,,
,277,8,6,1,-4,5,,-5,6,-3,-7,,-1,-1,-2,-1,5,-3,,,,,
,405,,-2,-5,11,6,1,10,-2,-5,2,5,-8,3,1,13,-3,5,,,,,
,-641,-1,-12,3,2,-5,4,21,-9,6,-15,-1,12,1,-6,1,10,10,,,,,
,-146,,5,-3,-4,-9,-4,2,7,7,,3,5,-3,-3,-10,-2,-3,,,,,
,259,-6,9,11,3,22,14,-9,16,-1,2,-10,-8,-8,6,3,-10,-2,,,,,
,-96,-20,3,-2,2,-11,-8,-6,-4,-10,9,,1,10,-5,2,1,-2,,,,,
,-752,26,-7,-3,6,-6,-6,2,4,3,9,3,2,-1,9,-7,23,20,,,,,
,263,-45,2,3,-8,12,5,2,-11,-2,-4,-8,-2,-9,-3,9,-19,-12,,,,,
,1682,6,2,1,7,-8,-7,1,-7,11,-5,8,1,15,-15,5,-2,,,,,,
,-1481,13,,-11,-4,-2,-4,-13,,-7,2,6,1,-9,3,-19,-3,7,,,,,
,19,19,-8,-1,,-1,5,-1,8,1,8,6,6,4,2,7,4,-7,,,,,
,957,-38,7,5,-8,2,8,2,-5,-2,-8,-12,,2,11,3,12,-10,,,,,
,-933,1,7,1,-2,-7,5,,2,-1,8,4,-4,-8,2,-9,-1,11,,,,,
,707,-1,-2,-9,-1,-4,-13,13,-2,-5,-10,-7,-14,-3,-12,-2,-17,-1,,,,,
,1501,,-6,2,7,18,-7,-9,6,5,2,-7,5,8,14,,5,-5,,,,,
,-2413,2,-6,1,2,5,8,-3,5,6,10,9,-6,7,-3,-2,2,-1,,,,,
,908,-3,3,2,-6,-6,-1,1,-2,,-9,-2,7,-20,-7,9,-1,-3,,,,,
,-816,1,-9,-3,3,-10,-3,-4,-3,-2,-2,2,1,4,-3,-2,2,1,,,,,
,2473,-1,5,3,1,3,1,-7,-2,-8,18,6,10,4,5,4,2,2,,,,,
,-2513,7,5,-2,-1,8,11,2,11,-2,-8,-8,-2,,-8,-5,8,11,,,,,
,2002,-18,-8,3,-2,-3,-2,2,-11,1,-13,-2,-5,1,,16,-12,-13,,,,,
,302,12,-2,-7,-3,-5,-7,7,-10,6,1,,-2,-4,3,-9,4,-3,,,,,
,-2127,,4,2,2,-1,,3,5,4,6,1,8,-6,5,-4,-18,3,,,,,
,-267,-29,13,7,16,10,10,,-7,-5,1,-6,-7,-8,-1,-7,10,-3,,,,,
,1033,-3,8,7,-2,-5,-5,-1,13,-2,-6,11,4,16,-3,2,-4,-3,,,,,
,-158,24,-22,-9,,,-2,-5,14,,-8,-7,-1,-2,7,-2,4,-9,,,,,
,-923,-2,-2,-6,-5,4,-8,-7,-10,2,4,-12,-5,-1,-10,-9,11,-7,,,,,
,427,-19,3,5,-13,-9,8,17,-2,6,9,13,-4,7,-15,9,5,19,,,,,
,-52,-1,10,-2,2,-6,-7,-4,-7,-8,1,9,1,-2,19,1,-5,-1,,,,,
,1752,4,-4,-2,13,2,3,-5,,17,-12,-7,-8,5,4,6,-15,1,,,,,
,-1528,-5,,-3,-7,-6,4,-1,4,-2,-1,3,9,-4,-4,-9,,,,,,,
,-553,2,12,12,-15,12,1,5,-7,-17,11,1,11,,2,,11,-4,,,,,
,1063,,-55508,-55503,-55520,-55561,-55534,-55525,-55568,-55570,-55442,-55444,-55472,-55492,-55428,-55464,-55469,-55454,,,,,
,3277,,-223149,-223101,-223288,-223407,-223216,-223252,-223360,-223445,-222865,-222842,-222972,-223090,-222865,-222954,-222973,-223026,,,,,
,-3268,-13,-56061,-56051,-56117,-56130,-56078,-56098,-56114,-56137,-55999,-55983,-56027,-56058,-56015,-56023,-56015,-56061,,,,,
,-1202,-11,-8,2,-8,5,-11,-7,-4,5,,-15,-9,-7,-8,9,6,8,,,,,
,1337,27,-2,6,10,,-1,-4,,2,,-1,4,,12,-10,-8,-2,,,,,
