Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Cz (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,202,2,,,,,,,,-3,,,,,,,,6,,,,,
,617,-2,,,,,,,,,,,,,,,,-1,,,,,
,-829,-11,,,,,,,,8,,,,,,,,4,,,,,
,-95,-21,,,,,,,,-2,,,,,,,,-14,,,,,
,4509,2,,,,,,,,-6,,,,,,,,-7,,,,,
,-3451,1,,,,,,,,13,,,,,,,,10,,,,,
,-480,3,,,,,,,,-2,,,,,,,,10,,,,,
,232,-3,,,,,,,,3,,,,,,,,-4,,,,,
,-584,1,,,,,,,,-7,,,,,,,,-5,,,,,
,59,3,,,,,,,,,,,,,,,,16,,,,,
,-140,-22,,,,,,,,3,,,,,,,,-3,,,,,
,1018,17,,,,,,,,-6,,,,,,,,-9,,,,,
,3049,-16,,,,,,,,1,,,,,,,,,,,,,
,-3225,17,,,,,,,,,,,,,,,,15,,,,,
,-406,-20,,,,,,,,6,,,,,,,,-10,,,,,
,-264,-21,,,,,,,,-11,,,,,,,,-13,,,,,
,3441,23,,,,,,,,11,,,,,,,,5,,,,,
,-2834,1,,,,,,,,-3,,,,,,,,-3,,,,,
,-469,-1,,,,,,,,-4,,,,,,,,3,,,,,
,158,-7,,,,,,,,1,,,,,,,,-2,,,,,
,-368,6,,,,,,,,2,,,,,,,,3,,,,,
,-8,1,,,,,,,,10,,,,,,,,-4,,,,,
,-254,-26,,,,,,,,19,,,,,,,,3,,,,,
,-485,-17,,,,,,,,-23,,,,,,,,3,,,,,
,862,-2,,,,,,,,-11,,,,,,,,10,,,,,
,8,19,,,,,,,,,,,,,,,,-3,,,,,
,1521,-21,,,,,,,,13,,,,,,,,2,,,,,
,-1833,-1,,,,,,,,8,,,,,,,,-5,,,,,
,480,2,,,,,,,,-2,,,,,,,,-3,,,,,
,212,-12,,,,,,,,,,,,,,,,-4,,,,,
,-1040,13,,,,,,,,8,,,,,,,,-8,,,,,
,-28,-31,,,,,,,,-5,,,,,,,,8,,,,,
,279,,,,,,,,,-23,,,,,,,,-2,,,,,
,-336,5,,,,,,,,10,,,,,,,,2,,,,,
,566,-2,,,,,,,,-3,,,,,,,,5,,,,,
,844,1,,,,,,,,-3,,,,,,,,-3,,,,,
,-756,7,,,,,,,,1,,,,,,,,-8,,,,,
,-629,-21,,,,,,,,2,,,,,,,,8,,,,,
,388,-3,,,,,,,,-8,,,,,,,,7,,,,,
,-256,16,,,,,,,,-6,,,,,,,,-11,,,,,
,797,-1,,,,,,,,-16,,,,,,,,-1,,,,,
,206,-32,,,,,,,,25,,,,,,,,4,,,,,
,-961,26,,,,,,,,5,,,,,,,,-2,,,,,
,-102,-27,,,,,,,,-12,,,,,,,,6,,,,,
,93,-11,,,,,,,,11,,,,,,,,3,,,,,
,387,9,,,,,,,,-6,,,,,,,,-6,,,,,
,-151,,,,,,,,,-5,,,,,,,,-2,,,,,
,507,,,,,,,,,11,,,,,,,,6,,,,,
,-187,,,,,,,,,-4,,,,,,,,-5,,,,,
,-123,-5,,,,,,,,-10,,,,,,,,-6,,,,,
,-138,22,,,,,,,,13,,,,,,,,,,,,,
,-386,-21,,,,,,,,3,,,,,,,,4,,,,,
,522,1,,,,,,,,-5,,,,,,,,8,,,,,
,362,,,,,,,,,-6,,,,,,,,1,,,,,
,3,-2,,,,,,,,20,,,,,,,,1,,,,,
,-438,1,,,,,,,,-8,,,,,,,,-9,,,,,
,-246,5,,,,,,,,3,,,,,,,,-8,,,,,
,391,5,,,,,,,,7,,,,,,,,7,,,,,
,-297,-6,,,,,,,,1,,,,,,,,3,,,,,
,276,-27,,,,,,,,-13,,,,,,,,,,,,,
,-27,-1,,,,,,,,2,,,,,,,,2,,,,,
,-197,20,,,,,,,,6,,,,,,,,,,,,,
,-290,-18,,,,,,,,-10,,,,,,,,6,,,,,
,985,-1,,,,,,,,-5,,,,,,,,-12,,,,,
,-1024,,,,,,,,,2,,,,,,,,4,,,,,
,-243,-1,,,,,,,,-6,,,,,,,,-7,,,,,
,547,1,,,,,,,,6,,,,,,,,11,,,,,
,617,-1,,,,,,,,1,,,,,,,,-5,,,,,
,-1001,-1,,,,,,,,4,,,,,,,,-1,,,,,
,93,2,,,,,,,,,,,,,,,,-7,,,,,
,1810,-1,,,,,,,,2,,,,,,,,-4,,,,,
,-1714,-32,,,,,,,,5,,,,,,,,18,,,,,
,577,26,,,,,,,,,,,,,,,,-7,,,,,
,-231,-26,,,,,,,,-1,,,,,,,,-4,,,,,
,2454,,,,,,,,,-6,,,,,,,,11,,,,,
,-2689,,,,,,,,,11,,,,,,,,5,,,,,
,338,-14,,,,,,,,3,,,,,,,,-11,,,,,
,1468,14,,,,,,,,-6,,,,,,,,1,,,,,
,1531,-11,,,,,,,,-5,,,,,,,,-2,,,,,
,-3581,,,,,,,,,-7,,,,,,,,3,,,,,
,943,1,,,,,,,,11,,,,,,,,5,,,,,
,-198,-17,,,,,,,,,,,,,,,,2,,,,,
,-620,,,,,,,,,-10,,,,,,,,-12,,,,,
,917,-4,,,,,,,,-14,,,,,,,,-1,,,,,
,-526,,,,,,,,,7,,,,,,,,-1,,,,,
,-114,-13,,,,,,,,5,,,,,,,,,,,,,
,1414,3,,,,,,,,-6,,,,,,,,9,,,,,
,552,10,,,,,,,,-2,,,,,,,,-5,,,,,
,-2506,-10,,,,,,,,5,,,,,,,,,,,,,
,295,-21,,,,,,,,,,,,,,,,4,,,,,
,296,9,,,,,,,,5,,,,,,,,1,,,,,
