Packet Number (n), App Timestamp (us),Sensor Timestamp (us),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Cz (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Disabled (uV),Ref,AccX (mg),AccY (mg),AccZ (mg),Event A, Event B
,2924,-1,,,,,,,,8,,,,,,,,6,,,,,
,-3170,17,,,,,,,,1,,,,,,,,1,,,,,
,-1247,-18,,,,,,,,-9,,,,,,,,4,,,,,
,4,1,,,,,,,,16,,,,,,,,-2,,,,,
,114,-13,,,,,,,,-1,,,,,,,,-12,,,,,
,2082,-18,,,,,,,,-5,,,,,,,,5,,,,,
,-2035,2,,,,,,,,2,,,,,,,,6,,,,,
,-88,-2,,,,,,,,-8,,,,,,,,,,,,,
,-223,-9,,,,,,,,,,,,,,,,4,,,,,
,1231,-3,,,,,,,,,,,,,,,,,,,,,
,-1440,-2,,,,,,,,-4,,,,,,,,4,,,,,
,-110,5,,,,,,,,5,,,,,,,,-7,,,,,
,-696,13,,,,,,,,,,,,,,,,-8,,,,,
,599,-32,,,,,,,,18,,,,,,,,1,,,,,
,374,27,,,,,,,,-15,,,,,,,,-4,,,,,
,-245,-30,,,,,,,,8,,,,,,,,1,,,,,
,236,-1,,,,,,,,-16,,,,,,,,-4,,,,,
,3228,17,,,,,,,,-3,,,,,,,,2,,,,,
,-3436,-6,,,,,,,,-1,,,,,,,,8,,,,,
,120,-23,,,,,,,,29,,,,,,,,5,,,,,
,406,29,,,,,,,,-7,,,,,,,,-10,,,,,
,52,-18,,,,,,,,-32,,,,,,,,4,,,,,
,-773,,,,,,,,,4,,,,,,,,-2,,,,,
,718,1,,,,,,,,11,,,,,,,,-2,,,,,
,-452,-17,,,,,,,,5,,,,,,,,,,,,,
,754,29,,,,,,,,2,,,,,,,,10,,,,,
,-217,-28,,,,,,,,2,,,,,,,,-11,,,,,
,-1007,11,,,,,,,,1,,,,,,,,8,,,,,
,576,-1,,,,,,,,8,,,,,,,,-3,,,,,
,-510,2,,,,,,,,-2,,,,,,,,-4,,,,,
,654,-9,,,,,,,,-13,,,,,,,,5,,,,,
,-977,-13,,,,,,,,-6,,,,,,,,-6,,,,,
,-18,-2,,,,,,,,,,,,,,,,-5,,,,,
,1743,18,,,,,,,,-12,,,,,,,,15,,,,,
,-568,-17,,,,,,,,26,,,,,,,,-1,,,,,
,485,-2,,,,,,,,-3,,,,,,,,-6,,,,,
,-369,,,,,,,,,-11,,,,,,,,7,,,,,
,-584,-5,,,,,,,,,,,,,,,,-5,,,,,
,321,6,,,,,,,,15,,,,,,,,3,,,,,
,-461,-1,,,,,,,,,,,,,,,,-2,,,,,
,-453,,,,,,,,,9,,,,,,,,-6,,,,,
,797,1,,,,,,,,-19,,,,,,,,8,,,,,
,-222,-33,,,,,,,,-3,,,,,,,,-2,,,,,
,401,-4,,,,,,,,16,,,,,,,,4,,,,,
,-361,4,,,,,,,,-1,,,,,,,,-9,,,,,
,480,,,,,,,,,-20,,,,,,,,7,,,,,
,-889,-1,,,,,,,,6,,,,,,,,-5,,,,,
,-27,-9,,,,,,,,12,,,,,,,,,,,,,
,-3,10,,,,,,,,-3,,,,,,,,-2,,,,,
,33,,,,,,,,,,,,,,,,,1,,,,,
,2402,-11,,,,,,,,-7,,,,,,,,6,,,,,
,1996,11,,,,,,,,-3,,,,,,,,-5,,,,,
,-3307,-27,,,,,,,,5,,,,,,,,-3,,,,,
,-761,13,,,,,,,,-5,,,,,,,,5,,,,,
,-584,,,,,,,,,11,,,,,,,,3,,,,,
,996,-30,,,,,,,,-8,,,,,,,,-3,,,,,
,-173,,,,,,,,,-3,,,,,,,,-2,,,,,
,66,13,,,,,,,,11,,,,,,,,2,,,,,
,42,-14,,,,,,,,-3,,,,,,,,3,,,,,
,-31,1,,,,,,,,-10,,,,,,,,4,,,,,
,-56,,,,,,,,,10,,,,,,,,-7,,,,,
,-25,3,,,,,,,,3,,,,,,,,1,,,,,
,-51,-22,,,,,,,,8,,,,,,,,-1,,,,,
,197,6,,,,,,,,-14,,,,,,,,-7,,,,,
,-635,16,,,,,,,,-12,,,,,,,,3,,,,,
,728,-22,,,,,,,,-2,,,,,,,,-3,,,,,
,-383,6,,,,,,,,9,,,,,,,,,,,,,
,604,-15,,,,,,,,6,,,,,,,,10,,,,,
,-673,1,,,,,,,,-5,,,,,,,,1,,,,,
,774,14,,,,,,,,10,,,,,,,,-8,,,,,
,-1199,-32,,,,,,,,-4,,,,,,,,,,,,,
,1652,23,,,,,,,,,,,,,,,,11,,,,,
,-1366,-9,,,,,,,,7,,,,,,,,1,,,,,
,-259,,,,,,,,,1,,,,,,,,1,,,,,
,413,,,,,,,,,-23,,,,,,,,-7,,,,,
,-784,-17,,,,,,,,1,,,,,,,,-3,,,,,
,1114,,,,,,,,,1,,,,,,,,-4,,,,,
,23,,,,,,,,,24,,,,,,,,6,,,,,
,-197,-11,,,,,,,,-2,,,,,,,,-1,,,,,
,-412,11,,,,,,,,-11,,,,,,,,7,,,,,
,399,-10,,,,,,,,-5,,,,,,,,,,,,,
,-812,-20,,,,,,,,5,,,,,,,,3,,,,,
,645,2,,,,,,,,10,,,,,,,,,,,,,
,166,-1,,,,,,,,8,,,,,,,,3,,,,,
,-296,-1,,,,,,,,-2,,,,,,,,-11,,,,,
,252,-12,,,,,,,,15,,,,,,,,-9,,,,,
,-62,13,,,,,,,,-23,,,,,,,,5,,,,,
,-326,-1,,,,,,,,-5,,,,,,,,-2,,,,,
,581,-11,,,,,,,,7,,,,,,,,-2,,,,,
,-359,12,,,,,,,,-19,,,,,,,,1,,,,,
,600,-10,,,,,,,,-7,,,,,,,,,,,,,
,2030,-23,,,,,,,,9,,,,,,,,3,,,,,
,-2598,,,,,,,,,25,,,,,,,,-10,,,,,
,-271,,,,,,,,,5,,,,,,,,1,,,,,
,1043,-10,,,,,,,,-3,,,,,,,,3,,,,,
,836,23,,,,,,,,-12,,,,,,,,11,,,,,
,-1972,-22,,,,,,,,-16,,,,,,,,-5,,,,,
,284,9,,,,,,,,8,,,,,,,,-3,,,,,
,273,-10,,,,,,,,6,,,,,,,,4,,,,,
,-133,10,,,,,,,,-3,,,,,,,,1,,,,,
,-471,-28,,,,,,,,-3,,,,,,,,-1,,,,,
,1371,15,,,,,,,,-10,,,,,,,,1,,,,,
,-1371,-13,,,,,,,,13,,,,,,,,3,,,,,
,94,15,,,,,,,,3,,,,,,,,-3,,,,,
,-599,-20,,,,,,,,5,,,,,,,,-13,,,,,
,1545,,,,,,,,,1,,,,,,,,3,,,,,
,-695,,,,,,,,,-12,,,,,,,,-1,,,,,
,-98,-10,,,,,,,,1,,,,,,,,1,,,,,
,-143,-3,,,,,,,,,,,,,,,,8,,,,,
,706,32,,,,,,,,-3,,,,,,,,5,,,,,
,317,-49,,,,,,,,-15,,,,,,,,1,,,,,
,-560,-5,,,,,,,,12,,,,,,,,6,,,,,
,-321,22,,,,,,,,13,,,,,,,,-8,,,,,
,407,-17,,,,,,,,2,,,,,,,,9,,,,,
,-543,,,,,,,,,-15,,,,,,,,-8,,,,,
,264,,,,,,,,,13,,,,,,,,7,,,,,
,-11,,,,,,,,,-7,,,,,,,,-2,,,,,
,-263,-13,,,,,,,,1,,,,,,,,-7,,,,,
,-762,3,,,,,,,,4,,,,,,,,-3,,,,,
,1289,-3,,,,,,,,,,,,,,,,-4,,,,,
,947,-15,,,,,,,,-7,,,,,,,,-1,,,,,
,-1363,15,,,,,,,,-6,,,,,,,,15,,,,,
,422,3,,,,,,,,3,,,,,,,,-5,,,,,
,4480,-3,,,,,,,,-1,,,,,,,,-14,,,,,
,-3406,-18,,,,,,,,-11,,,,,,,,4,,,,,
,-2503,,,,,,,,,13,,,,,,,,17,,,,,
,914,-1,,,,,,,,2,,,,,,,,-7,,,,,
,-73,1,,,,,,,,-1,,,,,,,,2,,,,,
,-8,,,,,,,,,-5,,,,,,,,-5,,,,,
,364,-52,,,,,,,,5,,,,,,,,-4,,,,,
,-414,-3,,,,,,,,,,,,,,,,11,,,,,
,169,3,,,,,,,,-7,,,,,,,,-9,,,,,
,338,,,,,,,,,,,,,,,,,-1,,,,,
,30,,,,,,,,,8,,,,,,,,-2,,,,,
,-583,-1,,,,,,,,-1,,,,,,,,10,,,,,
,1187,-1,,,,,,,,7,,,,,,,,,,,,,
,-670,1,,,,,,,,-4,,,,,,,,,,,,,
,1408,28,,,,,,,,4,,,,,,,,3,,,,,
,-2471,-55,,,,,,,,13,,,,,,,,-8,,,,,
,265,25,,,,,,,,-15,,,,,,,,-7,,,,,
,286,-30,,,,,,,,-14,,,,,,,,-5,,,,,
,2717,20,,,,,,,,10,,,,,,,,10,,,,,
,-2867,1,,,,,,,,4,,,,,,,,-8,,,,,
,649,-20,,,,,,,,10,,,,,,,,7,,,,,
,-307,1,,,,,,,,-16,,,,,,,,2,,,,,
,2576,-12,,,,,,,,,,,,,,,,-6,,,,,
,-2444,3,,,,,,,,8,,,,,,,,-1,,,,,
,143,10,,,,,,,,1,,,,,,,,-6,,,,,
,-750,-31,,,,,,,,5,,,,,,,,15,,,,,
,1083,-2,,,,,,,,-6,,,,,,,,-1,,,,,
,-399,1,,,,,,,,-12,,,,,,,,-7,,,,,
,-270,20,,,,,,,,15,,,,,,,,,,,,,
,1119,-21,,,,,,,,-1,,,,,,,,,,,,,
,-682,1,,,,,,,,-5,,,,,,,,-3,,,,,
,1016,1,,,,,,,,-7,,,,,,,,13,,,,,
,-1299,,,,,,,,,-3,,,,,,,,9,,,,,
,629,1,,,,,,,,5,,,,,,,,-7,,,,,
,2911,-14,,,,,,,,15,,,,,,,,-4,,,,,
,-3243,1,,,,,,,,3,,,,,,,,9,,,,,
,-49,,,,,,,,,-5,,,,,,,,-7,,,,,
,2473,-1,,,,,,,,-11,,,,,,,,,,,,,
,-2904,-14,,,,,,,,1,,,,,,,,-5,,,,,
,451,-17,,,,,,,,-1,,,,,,,,6,,,,,
,367,12,,,,,,,,-1,,,,,,,,-12,,,,,
,-872,-9,,,,,,,,7,,,,,,,,-1,,,,,
,-226,-2,,,,,,,,5,,,,,,,,9,,,,,
,1145,,,,,,,,,-7,,,,,,,,3,,,,,
,-1799,,,,,,,,,6,,,,,,,,-5,,,,,
,1656,,,,,,,,,-15,,,,,,,,5,,,,,
,-486,1,,,,,,,,-2,,,,,,,,5,,,,,
,-656,-21,,,,,,,,7,,,,,,,,-8,,,,,
,984,,,,,,,,,-11,,,,,,,,-14,,,,,
,-303,-1,,,,,,,,18,,,,,,,,-1,,,,,
,1353,-10,,,,,,,,-2,,,,,,,,11,,,,,
,855,-4,,,,,,,,-8,,,,,,,,9,,,,,
,-3197,3,,,,,,,,-12,,,,,,,,-14,,,,,
,1560,12,,,,,,,,2,,,,,,,,,,,,,
,-907,-11,,,,,,,,20,,,,,,,,7,,,,,
,91,-1,,,,,,,,-2,,,,,,,,8,,,,,
,-472,-19,,,,,,,,2,,,,,,,,4,,,,,
,741,1,,,,,,,,-10,,,,,,,,-9,,,,,
,-614,-12,,,,,,,,-10,,,,,,,,2,,,,,
,2757,2,,,,,,,,5,,,,,,,,-3,,,,,
,-3198,10,,,,,,,,5,,,,,,,,-1,,,,,
,830,-12,,,,,,,,-6,,,,,,,,6,,,,,
,-280,1,,,,,,,,13,,,,,,,,1,,,,,
,614,7,,,,,,,,8,,,,,,,,-14,,,,,
,-914,-6,,,,,,,,-16,,,,,,,,2,,,,,
,814,-23,,,,,,,,1,,,,,,,,7,,,,,
,3647,2,,,,,,,,10,,,,,,,,-4,,,,,
,-3622,,,,,,,,,-12,,,,,,,,-6,,,,,
,-594,2,,,,,,,,9,,,,,,,,13,,,,,
,627,-13,,,,,,,,-2,,,,,,,,7,,,,,
,-285,2,,,,,,,,-1,,,,,,,,-3,,,,,
,758,-1,,,,,,,,5,,,,,,,,-5,,,,,
,-726,-2,,,,,,,,-6,,,,,,,,2,,,,,
,-211,1,,,,,,,,-11,,,,,,,,-4,,,,,
,1269,,,,,,,,,8,,,,,,,,-1,,,,,
,1039,-20,,,,,,,,7,,,,,,,,4,,,,,
,-2943,12,,,,,,,,-1,,,,,,,,1,,,,,
,773,-23,,,,,,,,-7,,,,,,,,-10,,,,,
,-55,11,,,,,,,,4,,,,,,,,,,,,,
,-490,,,,,,,,,6,,,,,,,,6,,,,,
,622,-12,,,,,,,,-8,,,,,,,,-4,,,,,
,254,-1,,,,,,,,-11,,,,,,,,-7,,,,,
,1859,2,,,,,,,,9,,,,,,,,-1,,,,,
,-2712,6,,,,,,,,13,,,,,,,,12,,,,,
,1538,-29,,,,,,,,7,,,,,,,,3,,,,,
,-1019,4,,,,,,,,-11,,,,,,,,-1,,,,,
,-302,17,,,,,,,,-5,,,,,,,,,,,,,
,929,-19,,,,,,,,-5,,,,,,,,8,,,,,
,-818,-9,,,,,,,,-5,,,,,,,,-5,,,,,
,-113,16,,,,,,,,4,,,,,,,,7,,,,,
,1002,-17,,,,,,,,14,,,,,,,,-12,,,,,
,-1193,12,,,,,,,,-3,,,,,,,,-11,,,,,
,2276,-11,,,,,,,,-4,,,,,,,,12,,,,,
,-31,-22,,,,,,,,-2,,,,,,,,-5,,,,,
,-1747,3,,,,,,,,7,,,,,,,,5,,,,,
,-873,19,,,,,,,,8,,,,,,,,-4,,,,,
,1875,13,,,,,,,,-9,,,,,,,,-6,,,,,
,-1520,-33,,,,,,,,-9,,,,,,,,8,,,,,
,1153,-11,,,,,,,,6,,,,,,,,-2,,,,,
,-510,,,,,,,,,12,,,,,,,,,,,,,
,-20,9,,,,,,,,-1,,,,,,,,-9,,,,,
,-222,-25,,,,,,,,-7,,,,,,,,9,,,,,
,21,16,,,,,,,,1,,,,,,,,-7,,,,,
,-109,-1,,,,,,,,-3,,,,,,,,5,,,,,
,283,2,,,,,,,,-2,,,,,,,,9,,,,,
,308,-3,,,,,,,,,,,,,,,,4,,,,,
,-374,-19,,,,,,,,-9,,,,,,,,-8,,,,,
,-96,-13,,,,,,,,2,,,,,,,,-8,,,,,
,-318,3,,,,,,,,11,,,,,,,,7,,,,,
,574,-1,,,,,,,,2,,,,,,,,2,,,,,
,-499,1,,,,,,,,-20,,,,,,,,1,,,,,
,227,1,,,,,,,,-1,,,,,,,,-2,,,,,
,-432,-1,,,,,,,,20,,,,,,,,-1,,,,,
,1341,-1,,,,,,,,-6,,,,,,,,1,,,,,
,-1364,-19,,,,,,,,-6,,,,,,,,-11,,,,,
,908,1,,,,,,,,9,,,,,,,,-4,,,,,
,-642,-14,,,,,,,,-8,,,,,,,,6,,,,,
,1277,14,,,,,,,,-12,,,,,,,,6,,,,,
,-1096,-11,,,,,,,,9,,,,,,,,1,,,,,
,-345,10,,,,,,,,9,,,,,,,,-3,,,,,
,195,-2,,,,,,,,-3,,,,,,,,-6,,,,,
,386,-3,,,,,,,,1,,,,,,,,8,,,,,
,-537,3,,,,,,,,-10,,,,,,,,4,,,,,
,185,-14,,,,,,,,-11,,,,,,,,-9,,,,,
,-75,-15,,,,,,,,14,,,,,,,,3,,,,,
,584,11,,,,,,,,14,,,,,,,,-6,,,,,
,-734,-20,,,,,,,,-10,,,,,,,,7,,,,,
,412,29,,,,,,,,,,,,,,,,1,,,,,
,199,-11,,,,,,,,14,,,,,,,,-1,,,,,
,-531,-18,,,,,,,,-8,,,,,,,,8,,,,,
,-434,-1,,,,,,,,-3,,,,,,,,-11,,,,,
,355,17,,,,,,,,,,,,,,,,-6,,,,,
,31,2,,,,,,,,2,,,,,,,,5,,,,,
,4269,-19,,,,,,,,4,,,,,,,,8,,,,,
,-3362,-7,,,,,,,,-4,,,,,,,,,,,,,
,-381,,,,,,,,,7,,,,,,,,11,,,,,
,-498,-19,,,,,,,,-7,,,,,,,,-7,,,,,
,12,27,,,,,,,,-3,,,,,,,,-5,,,,,
,88,,,,,,,,,5,,,,,,,,,,,,,
,-517,-44,,,,,,,,,,,,,,,,-12,,,,,
,-100,9,,,,,,,,,,,,,,,,2,,,,,
,1127,9,,,,,,,,1,,,,,,,,3,,,,,
,-531,-19,,,,,,,,-20,,,,,,,,6,,,,,
,-70,-11,,,,,,,,-1,,,,,,,,-6,,,,,
,-196,10,,,,,,,,17,,,,,,,,11,,,,,
,555,-15,,,,,,,,-15,,,,,,,,-4,,,,,
,980,2,,,,,,,,15,,,,,,,,5,,,,,
,-1861,12,,,,,,,,-7,,,,,,,,2,,,,,
,1188,-12,,,,,,,,-22,,,,,,,,-14,,,,,
,-656,-16,,,,,,,,14,,,,,,,,-1,,,,,
,5695,-3,,,,,,,,14,,,,,,,,13,,,,,
,-3344,10,,,,,,,,-6,,,,,,,,-1,,,,,
,2862,-4,,,,,,,,9,,,,,,,,-6,,,,,
,7078,-4,,,,,,,,-1,,,,,,,,-3,,,,,
,-3671,3,,,,,,,,6,,,,,,,,3,,,,,
,-3609,,,,,,,,,-9,,,,,,,,11,,,,,
,-3605,-2,,,,,,,,6,,,,,,,,-6,,,,,
,-2244,-15,,,,,,,,-10,,,,,,,,-3,,,,,
,941,14,,,,,,,,,,,,,,,,-6,,,,,
,402,-11,,,,,,,,12,,,,,,,,-3,,,,,
,-959,-3,,,,,,,,2,,,,,,,,1,,,,,
,312,4,,,,,,,,-2,,,,,,,,-4,,,,,
,1158,-19,,,,,,,,-1,,,,,,,,14,,,,,
,-1442,-1,,,,,,,,3,,,,,,,,1,,,,,
,827,-2,,,,,,,,1,,,,,,,,-2,,,,,
,-256,-13,,,,,,,,-14,,,,,,,,-10,,,,,
,3039,-8,,,,,,,,2,,,,,,,,9,,,,,
,-2811,9,,,,,,,,9,,,,,,,,-2,,,,,
,-886,13,,,,,,,,-8,,,,,,,,-3,,,,,
,107,-10,,,,,,,,-2,,,,,,,,5,,,,,
,563,,,,,,,,,-15,,,,,,,,3,,,,,
,1414,-20,,,,,,,,7,,,,,,,,-2,,,,,
,-1293,,,,,,,,,7,,,,,,,,1,,,,,
,-691,,,,,,,,,3,,,,,,,,2,,,,,
,79,-1,,,,,,,,1,,,,,,,,-8,,,,,
,1550,3,,,,,,,,4,,,,,,,,1,,,,,
,553,-2,,,,,,,,-9,,,,,,,,-2,,,,,
,-1890,-7,,,,,,,,-8,,,,,,,,8,,,,,
,463,6,,,,,,,,14,,,,,,,,-10,,,,,
,153,-16,,,,,,,,6,,,,,,,,2,,,,,
,-838,18,,,,,,,,3,,,,,,,,,,,,,
,1177,-17,,,,,,,,-14,,,,,,,,13,,,,,
,-1309,-25,,,,,,,,7,,,,,,,,-2,,,,,
,1433,17,,,,,,,,9,,,,,,,,-15,,,,,
,3669,7,,,,,,,,1,,,,,,,,-10,,,,,
,-3088,-25,,,,,,,,-14,,,,,,,,7,,,,,
,-2271,,,,,,,,,11,,,,,,,,14,,,,,
,1378,1,,,,,,,,-9,,,,,,,,-3,,,,,
,1070,25,,,,,,,,-5,,,,,,,,-3,,,,,
,-2060,-19,,,,,,,,16,,,,,,,,4,,,,,
,252,-9,,,,,,,,2,,,,,,,,-5,,,,,
,2638,-23,,,,,,,,-14,,,,,,,,5,,,,,
,-3236,3,,,,,,,,-14,,,,,,,,1,,,,,
,523,9,,,,,,,,5,,,,,,,,-13,,,,,
,69,-2,,,,,,,,13,,,,,,,,8,,,,,
,-408,-5,,,,,,,,9,,,,,,,,8,,,,,
,105,-26,,,,,,,,-12,,,,,,,,-10,,,,,
,615,16,,,,,,,,-2,,,,,,,,2,,,,,
,-223,-19,,,,,,,,6,,,,,,,,-8,,,,,
,50,18,,,,,,,,-1,,,,,,,,3,,,,,
,393,-19,,,,,,,,-8,,,,,,,,2,,,,,
,227,17,,,,,,,,8,,,,,,,,13,,,,,
,21,-13,,,,,,,,-12,,,,,,,,1,,,,,
,-646,-5,,,,,,,,5,,,,,,,,-20,,,,,
,434,1,,,,,,,,4,,,,,,,,1,,,,,
,-901,-10,,,,,,,,11,,,,,,,,11,,,,,
,456,8,,,,,,,,5,,,,,,,,3,,,,,
,-47,-27,,,,,,,,-17,,,,,,,,-1,,,,,
,-475,-1,,,,,,,,-1,,,,,,,,-7,,,,,
,-9,-1,,,,,,,,10,,,,,,,,-3,,,,,
,746,-2,,,,,,,,-25,,,,,,,,-3,,,,,
,-357,18,,,,,,,,7,,,,,,,,17,,,,,
,2288,-17,,,,,,,,7,,,,,,,,-3,,,,,
,-2514,-11,,,,,,,,-2,,,,,,,,-5,,,,,
,202,-2,,,,,,,,15,,,,,,,,7,,,,,
,-445,11,,,,,,,,-3,,,,,,,,-5,,,,,
,1108,18,,,,,,,,7,,,,,,,,10,,,,,
,-209,-5,,,,,,,,-13,,,,,,,,-10,,,,,
,-606,-12,,,,,,,,-3,,,,,,,,-3,,,,,
,1079,-5,,,,,,,,17,,,,,,,,9,,,,,
,-252,-13,,,,,,,,-8,,,,,,,,-4,,,,,
,1322,12,,,,,,,,-11,,,,,,,,-2,,,,,
,-2177,-11,,,,,,,,7,,,,,,,,-4,,,,,
,1211,23,,,,,,,,-9,,,,,,,,1,,,,,
,1120,-4,,,,,,,,4,,,,,,,,-5,,,,,
,-2698,-30,,,,,,,,-2,,,,,,,,10,,,,,
,1105,7,,,,,,,,18,,,,,,,,-1,,,,,
,1944,-8,,,,,,,,-15,,,,,,,,5,,,,,
,-3499,19,,,,,,,,4,,,,,,,,-11,,,,,
,564,-19,,,,,,,,5,,,,,,,,2,,,,,
,-36,,,,,,,,,-6,,,,,,,,-3,,,,,
,557,1,,,,,,,,-14,,,,,,,,13,,,,,
,-13,1,,,,,,,,-9,,,,,,,,-1,,,,,
,12,-1,,,,,,,,12,,,,,,,,-10,,,,,
,916,-1,,,,,,,,17,,,,,,,,10,,,,,
,-715,-32,,,,,,,,-11,,,,,,,,-7,,,,,
,-277,3,,,,,,,,6,,,,,,,,8,,,,,
,1037,30,,,,,,,,-6,,,,,,,,2,,,,,
,-983,-33,,,,,,,,14,,,,,,,,-13,,,,,
,-444,7,,,,,,,,-1,,,,,,,,6,,,,,
,456,-7,,,,,,,,-15,,,,,,,,-3,,,,,
,3233,-11,,,,,,,,,,,,,,,,2,,,,,
,-3120,1,,,,,,,,6,,,,,,,,-3,,,,,
,-204,-13,,,,,,,,-20,,,,,,,,2,,,,,
,-76,14,,,,,,,,21,,,,,,,,-7,,,,,
,-423,-23,,,,,,,,1,,,,,,,,6,,,,,
,1196,5,,,,,,,,-2,,,,,,,,6,,,,,
,-267,-4,,,,,,,,5,,,,,,,,-3,,,,,
,-661,-13,,,,,,,,-5,,,,,,,,-4,,,,,
,2195,17,,,,,,,,-8,,,,,,,,4,,,,,
,-2618,-4,,,,,,,,,,,,,,,,12,,,,,
,714,7,,,,,,,,9,,,,,,,,-7,,,,,
,554,-17,,,,,,,,5,,,,,,,,-10,,,,,
,-1098,-18,,,,,,,,-4,,,,,,,,-3,,,,,
,124,-7,,,,,,,,4,,,,,,,,4,,,,,
,739,4,,,,,,,,2,,,,,,,,-6,,,,,
,-560,5,,,,,,,,-6,,,,,,,,14,,,,,
,100,-5,,,,,,,,11,,,,,,,,-8,,,,,
,-171,,,,,,,,,-8,,,,,,,,2,,,,,
,-83,,,,,,,,,-9,,,,,,,,2,,,,,
,578,-13,,,,,,,,13,,,,,,,,-3,,,,,
,-425,13,,,,,,,,-11,,,,,,,,-5,,,,,
,-2,,,,,,,,,-5,,,,,,,,11,,,,,
,-117,-32,,,,,,,,-11,,,,,,,,-7,,,,,
,1033,1,,,,,,,,16,,,,,,,,3,,,,,
,-1067,1,,,,,,,,-6,,,,,,,,3,,,,,
,-232,,,,,,,,,6,,,,,,,,2,,,,,
,163,,,,,,,,,-2,,,,,,,,-9,,,,,
,1402,-10,,,,,,,,9,,,,,,,,7,,,,,
,-903,10,,,,,,,,-1,,,,,,,,-7,,,,,
,1021,-9,,,,,,,,-6,,,,,,,,1,,,,,
,-1493,5,,,,,,,,-3,,,,,,,,1,,,,,
,469,-20,,,,,,,,10,,,,,,,,-4,,,,,
,-1,-5,,,,,,,,-5,,,,,,,,4,,,,,
,194,-2,,,,,,,,4,,,,,,,,-8,,,,,
,-998,1,,,,,,,,5,,,,,,,,19,,,,,
,709,-7,,,,,,,,-25,,,,,,,,-4,,,,,
,-271,-5,,,,,,,,-6,,,,,,,,-12,,,,,
,-357,3,,,,,,,,11,,,,,,,,-2,,,,,
,801,-2,,,,,,,,5,,,,,,,,14,,,,,
,-824,,,,,,,,,1,,,,,,,,-6,,,,,
,742,11,,,,,,,,15,,,,,,,,1,,,,,
,39,-10,,,,,,,,-4,,,,,,,,-4,,,,,
,-445,,,,,,,,,-4,,,,,,,,2,,,,,
,492,-24,,,,,,,,3,,,,,,,,-1,,,,,
,-449,25,,,,,,,,3,,,,,,,,1,,,,,
,-101,-19,,,,,,,,-3,,,,,,,,-1,,,,,
,3290,-4,,,,,,,,-2,,,,,,,,1,,,,,
,-3354,50,,,,,,,,12,,,,,,,,3,,,,,
,629,-50,,,,,,,,-11,,,,,,,,2,,,,,
,-396,3,,,,,,,,-3,,,,,,,,-2,,,,,
,-310,-29,,,,,,,,-5,,,,,,,,11,,,,,
,-19,13,,,,,,,,-2,,,,,,,,,,,,,
,251,-18,,,,,,,,33,,,,,,,,-6,,,,,
,1113,,,,,,,,,-17,,,,,,,,11,,,,,
,-1314,,,,,,,,,-1,,,,,,,,-22,,,,,
,253,-13,,,,,,,,-12,,,,,,,,-5,,,,,
,243,16,,,,,,,,-7,,,,,,,,2,,,,,
,-447,-3,,,,,,,,26,,,,,,,,-2,,,,,
,-243,5,,,,,,,,-13,,,,,,,,9,,,,,
,-501,-5,,,,,,,,-10,,,,,,,,5,,,,,
,1841,-19,,,,,,,,-2,,,,,,,,-3,,,,,
,-404,-7,,,,,,,,4,,,,,,,,2,,,,,
,-981,13,,,,,,,,19,,,,,,,,-6,,,,,
,2571,-17,,,,,,,,-3,,,,,,,,-2,,,,,
,-2409,-9,,,,,,,,-11,,,,,,,,,,,,,
,-332,-4,,,,,,,,-10,,,,,,,,9,,,,,
,129,17,,,,,,,,7,,,,,,,,-9,,,,,
,545,-14,,,,,,,,7,,,,,,,,-6,,,,,
,-163,10,,,,,,,,-2,,,,,,,,12,,,,,
,-238,,,,,,,,,-15,,,,,,,,5,,,,,
,1836,-31,,,,,,,,10,,,,,,,,,,,,,
,-1444,-1,,,,,,,,2,,,,,,,,-3,,,,,
,-444,19,,,,,,,,,,,,,,,,-10,,,,,
,431,-14,,,,,,,,-1,,,,,,,,15,,,,,
,-599,-14,,,,,,,,2,,,,,,,,-7,,,,,
,632,-1,,,,,,,,-5,,,,,,,,1,,,,,
,-873,14,,,,,,,,-13,,,,,,,,-2,,,,,
,1712,-3,,,,,,,,7,,,,,,,,-4,,,,,
,2187,31,,,,,,,,13,,,,,,,,-15,,,,,
,-3104,-31,,,,,,,,-5,,,,,,,,19,,,,,
,-336,-9,,,,,,,,13,,,,,,,,10,,,,,
,393,-43,,,,,,,,-13,,,,,,,,-15,,,,,
,-28,43,,,,,,,,5,,,,,,,,1,,,,,
,-298,-43,,,,,,,,10,,,,,,,,-7,,,,,
,-257,28,,,,,,,,-20,,,,,,,,4,,,,,
,74,-30,,,,,,,,-9,,,,,,,,-4,,,,,
,412,2,,,,,,,,12,,,,,,,,12,,,,,
,-58,-2,,,,,,,,-4,,,,,,,,5,,,,,
,648,1,,,,,,,,-3,,,,,,,,-12,,,,,
,-235,-2,,,,,,,,7,,,,,,,,-6,,,,,
,-794,-10,,,,,,,,1,,,,,,,,12,,,,,
,104,2,,,,,,,,-1,,,,,,,,4,,,,,
,98,-20,,,,,,,,12,,,,,,,,1,,,,,
,6,-1,,,,,,,,3,,,,,,,,-4,,,,,
,-142,,,,,,,,,,,,,,,,,2,,,,,
